sample_id,lab_id,fermenter,fecha_muestreo,hora_muestreo,time_h,brix_degBx,rho_value,rho_unit,temperature_C,DO_value,DO_unit,CO2_dissolved_16C_mg_L,CO2_unit,CO2_table_temperature_C,CO2_residual_volume_mL,CO2_dissolved_actualT_mg_L,notes,y15_datetime,y15_datetime_end,YAN_mg_L,ammonia_mg_L,PAN_mg_L,glucose_g_L,glucose_fructose_g_L,fructose_g_L,glycerol_g_L
LAB013-1,LAB013,F1,2026-08-18,10:00:00,,16.7,1066.7,kg/m3,19.2,3.78,mg/L,476.0,mg/L,16.0,95.0,431.2,,,,,,,,,,
LAB014-1,LAB014,F2,2026-08-18,10:00:00,,16.8,1067.1,kg/m3,19.4,2.89,mg/L,476.0,mg/L,16.0,95.0,428.4,,,,,,,,,,
LAB015-1,LAB015,F3,2026-08-18,10:00:00,,16.8,1066.9,kg/m3,20.4,3.41,mg/L,527.0,mg/L,16.0,94.0,466.0,Excede limite de la tabla,,,,,,,,,
LAB013-2,LAB013,F1,2026-08-18,12:30:00,,16.3,1065.2,kg/m3,17.7,1.76,mg/L,476.0,mg/L,16.0,95.0,452.2,,2026-08-18 13:12:58,2026-08-18 13:21:23,237.0,164.0,102.0,71.13,146.6,75.47,1.13
LAB014-2,LAB014,F2,2026-08-18,12:30:00,,16.7,1067.1,kg/m3,18.0,1.99,mg/L,628.0,mg/L,16.0,92.0,591.0,,2026-08-18 13:13:46,2026-08-18 13:24:59,246.0,168.0,108.0,75.67,155.8,80.13,1.15
LAB015-2,LAB015,F3,2026-08-18,12:30:00,,16.9,1067.9,kg/m3,17.7,2.12,mg/L,730.0,mg/L,16.0,90.0,696.0,,2026-08-18 13:16:10,2026-08-18 13:28:36,250.0,171.0,110.0,75.36,152.94,77.58,1.14
LAB013-3,LAB013,F1,2026-08-18,14:30:00,,16.7,1067.2,kg/m3,17.1,2.13,mg/L,679.0,mg/L,16.0,91.0,658.2,,2026-08-18 15:02:13,2026-08-18 15:09:26,246.0,168.0,109.0,75.31,153.13,77.82,1.3
LAB014-3,LAB014,F2,2026-08-18,14:30:00,,16.7,1067.2,kg/m3,17.9,2.38,mg/L,628.0,mg/L,16.0,92.0,593.0,,2026-08-18 15:03:01,2026-08-18 15:13:03,246.0,169.0,107.0,74.6,150.65,76.05,1.2
LAB015-3,LAB015,F3,2026-08-18,14:30:00,,16.8,1067.6,kg/m3,17.3,1.86,mg/L,628.0,mg/L,16.0,92.0,605.0,,2026-08-18 15:33:51,2026-08-18 15:56:41,244.0,168.0,107.0,74.27,153.35,79.08,1.24
LAB013-4,LAB013,F1,2026-08-18,17:00:00,,16.8,1067.5,kg/m3,17.5,2.59,mg/L,578.0,mg/L,16.0,93.0,553.0,,2026-08-18 17:10:13,2026-08-18 17:24:15,245.0,167.0,108.0,75.06,154.55,79.49,1.12
