sample_id,lab_id,fermenter,fecha_muestreo,hora_muestreo,time_h,brix_degBx,rho_value,rho_unit,temperature_C,DO_value,DO_unit,CO2_dissolved_16C_mg_L,CO2_unit,CO2_table_temperature_C,CO2_residual_volume_mL,CO2_dissolved_actualT_mg_L,notes
LAB013-1,LAB013,F1,2026-08-18,10:00:00,,16.7,1066.7,kg/m3,19.2,3.78,mg/L,476.0,mg/L,16.0,95.0,431.2,
LAB014-1,LAB014,F2,2026-08-18,10:00:00,,16.8,1067.1,kg/m3,19.4,2.89,mg/L,476.0,mg/L,16.0,95.0,428.4,
LAB015-1,LAB015,F3,2026-08-18,10:00:00,,16.8,1066.9,kg/m3,20.4,3.41,mg/L,527.0,mg/L,16.0,94.0,466.0,Excede limite de la tabla
LAB013-2,LAB013,F1,2026-08-18,12:30:00,,16.3,1065.2,kg/m3,17.7,1.76,mg/L,476.0,mg/L,16.0,95.0,452.2,
LAB014-2,LAB014,F2,2026-08-18,12:30:00,,16.7,1067.1,kg/m3,18.0,1.99,mg/L,628.0,mg/L,16.0,92.0,591.0,
LAB015-2,LAB015,F3,2026-08-18,12:30:00,,16.9,1067.9,kg/m3,17.7,2.12,mg/L,730.0,mg/L,16.0,90.0,696.0,
LAB013-3,LAB013,F1,2026-08-18,14:30:00,,16.7,1067.2,kg/m3,17.1,2.13,mg/L,679.0,mg/L,16.0,91.0,658.2,
LAB014-3,LAB014,F2,2026-08-18,14:30:00,,16.7,1067.2,kg/m3,17.9,2.38,mg/L,628.0,mg/L,16.0,92.0,593.0,
LAB015-3,LAB015,F3,2026-08-18,14:30:00,,16.8,1067.6,kg/m3,17.3,1.86,mg/L,628.0,mg/L,16.0,92.0,605.0,
LAB013-4,LAB013,F1,2026-08-18,17:00:00,,16.8,1067.5,kg/m3,17.5,2.59,mg/L,578.0,mg/L,16.0,93.0,553.0,
LAB014-4,LAB014,F2,2026-08-18,17:00:00,,16.8,1067.7,kg/m3,18.1,1.41,mg/L,527.0,mg/L,16.0,94.0,494.5,
LAB015-4,LAB015,F3,2026-08-18,17:00:00,,16.8,1067.6,kg/m3,17.8,0.65,mg/L,578.0,mg/L,16.0,93.0,548.2,
LAB013-5,LAB013,F1,2026-08-19,09:00:00,,16.2,1064.3,kg/m3,19.5,1.62,mg/L,1760.0,mg/L,16.0,64.0,1597.5,
LAB014-5,LAB014,F2,2026-08-19,09:00:00,,16.5,1065.2,kg/m3,19.5,0.91,mg/L,1821.0,mg/L,16.0,62.0,1666.0,
LAB015-5,LAB015,F3,2026-08-19,09:00:00,,16.5,1063.7,kg/m3,19.2,0.64,mg/L,1621.0,mg/L,16.0,68.0,1491.8,
LAB013-6,LAB013,F1,2026-08-19,15:00:00,,15.4,1061.4,kg/m3,17.5,1.11,mg/L,1953.0,mg/L,16.0,58.0,1884.5,
LAB014-6,LAB014,F2,2026-08-19,15:00:00,,16.1,1064.6,kg/m3,17.6,0.52,mg/L,2078.0,mg/L,16.0,54.0,2003.0,
LAB015-6,LAB015,F3,2026-08-19,15:00:00,,16.3,1065.2,kg/m3,17.7,0.63,mg/L,1922.0,mg/L,16.0,59.0,1844.5,
LAB013-7,LAB013,F1,2026-08-20,09:30:00,,15.0,1060.1,kg/m3,17.2,0.73,mg/L,2016.0,mg/L,16.0,56.0,1960.6,
LAB014-7,LAB014,F2,2026-08-20,09:30:00,,14.9,1059.3,kg/m3,17.7,0.35,mg/L,1890.0,mg/L,16.0,60.0,1813.5,
LAB015-7,LAB015,F3,2026-08-20,09:30:00,,15.3,1060.9,kg/m3,18.0,0.36,mg/L,1727.0,mg/L,16.0,65.0,1641.0,
LAB013-8,LAB013,F1,2026-08-20,15:00:00,,14.4,1057.2,kg/m3,18.4,0.56,mg/L,,mg/L,,,,
LAB014-8,LAB014,F2,2026-08-20,15:00:00,,14.3,1056.4,kg/m3,18.4,0.33,mg/L,,mg/L,,,,
LAB015-8,LAB015,F3,2026-08-20,15:00:00,,14.7,1058.4,kg/m3,18.5,0.32,mg/L,,mg/L,,,,
LAB013-9,LAB013,F1,2026-08-21,09:30:00,,12.7,1050.5,kg/m3,16.3,,mg/L,,mg/L,,,,
LAB014-9,LAB014,F2,2026-08-21,09:30:00,,11.9,1047.0,kg/m3,16.4,,mg/L,,mg/L,,,,
LAB015-9,LAB015,F3,2026-08-21,09:30:00,,13.0,1051.3,kg/m3,16.4,,mg/L,,mg/L,,,,
LAB013-10,LAB013,F1,2026-08-24,09:30:00,,2.9,1009.3,kg/m3,19.2,,mg/L,,mg/L,,,,
LAB014-10,LAB014,F2,2026-08-24,09:30:00,,2.1,1006.6,kg/m3,18.5,,mg/L,,mg/L,,,,
LAB015-10,LAB015,F3,2026-08-24,09:30:00,,3.4,1011.7,kg/m3,17.8,,mg/L,,mg/L,,,,
