sample_id,lab_id,fermenter,sample_type,y15_datetime,y15_datetime_end,YAN_mg_L,ammonia_mg_L,PAN_mg_L,glucose_g_L,glucose_fructose_g_L,fructose_g_L,glycerol_g_L
LAB013-PI,LAB013,F1,pre_inoculum,2026-08-18 11:05:18,2026-08-18 11:16:31,249.0,170.0,110.0,75.62,154.65,79.03,1.15
LAB013-2,LAB013,F1,fermentation_sample,2026-08-18 13:12:58,2026-08-18 13:21:23,237.0,164.0,102.0,71.13,146.6,75.47,1.13
LAB013-3,LAB013,F1,fermentation_sample,2026-08-18 15:02:13,2026-08-18 15:09:26,246.0,168.0,109.0,75.31,153.13,77.82,1.3
LAB013-4,LAB013,F1,fermentation_sample,2026-08-18 17:10:13,2026-08-18 17:24:15,245.0,167.0,108.0,75.06,154.55,79.49,1.12
LAB013-5,LAB013,F1,fermentation_sample,2026-08-19 11:11:09,2026-08-19 11:34:22,227.0,161.0,94.0,74.91,151.69,76.78,1.34
LAB013-6,LAB013,F1,fermentation_sample,2026-08-19 15:32:51,2026-08-19 16:06:29,207.0,150.0,84.0,65.18,139.09,73.91,1.52
LAB013-7,LAB013,F1,fermentation_sample,2026-08-20 10:22:27,2026-08-20 10:38:29,183.0,136.0,72.0,66.07,140.22,74.15,1.84
LAB013-8,LAB013,F1,fermentation_sample,2026-08-20 15:37:23,2026-08-20 15:45:49,164.0,122.0,64.0,61.99,134.95,72.96,2.16
LAB014-PI,LAB014,F2,pre_inoculum,2026-08-18 11:06:06,2026-08-18 11:20:08,247.0,170.0,107.0,76.54,156.92,80.38,1.12
LAB014-2,LAB014,F2,fermentation_sample,2026-08-18 13:13:46,2026-08-18 13:24:59,246.0,168.0,108.0,75.67,155.8,80.13,1.15
LAB014-3,LAB014,F2,fermentation_sample,2026-08-18 15:03:01,2026-08-18 15:13:03,246.0,169.0,107.0,74.6,150.65,76.05,1.2
LAB014-4,LAB014,F2,fermentation_sample,2026-08-18 17:12:37,2026-08-18 17:27:51,246.0,170.0,107.0,76.3,156.87,80.57,1.11
LAB014-5,LAB014,F2,fermentation_sample,2026-08-19 11:11:57,2026-08-19 11:37:35,227.0,163.0,93.0,72.69,150.78,78.09,1.36
LAB014-6,LAB014,F2,fermentation_sample,2026-08-19 15:33:39,2026-08-19 16:10:05,216.0,156.0,88.0,71.22,148.29,77.07,1.5
LAB014-7,LAB014,F2,fermentation_sample,2026-08-20 10:29:40,2026-08-20 10:42:05,171.0,127.0,67.0,63.52,136.62,73.1,1.98
LAB014-8,LAB014,F2,fermentation_sample,2026-08-20 15:38:11,2026-08-20 15:49:25,146.0,108.0,57.0,59.55,130.71,71.16,2.39
LAB015-PI,LAB015,F3,pre_inoculum,2026-08-18 11:08:30,2026-08-18 11:23:44,246.0,170.0,106.0,75.32,154.77,79.45,1.12
LAB015-2,LAB015,F3,fermentation_sample,2026-08-18 13:16:10,2026-08-18 13:28:36,250.0,171.0,110.0,75.36,152.94,77.58,1.14
LAB015-3,LAB015,F3,fermentation_sample,2026-08-18 15:33:51,2026-08-18 15:56:41,244.0,168.0,107.0,74.27,153.35,79.08,1.24
LAB015-4,LAB015,F3,fermentation_sample,2026-08-18 17:17:25,2026-08-18 17:31:27,246.0,170.0,107.0,76.07,155.1,79.03,1.08
LAB015-5,LAB015,F3,fermentation_sample,2026-08-19 11:14:21,2026-08-19 11:41:11,229.0,163.0,96.0,73.88,150.62,76.74,1.32
LAB015-6,LAB015,F3,fermentation_sample,2026-08-19 15:36:03,2026-08-19 16:13:42,222.0,159.0,91.0,71.71,149.13,77.42,1.46
LAB015-7,LAB015,F3,fermentation_sample,2026-08-20 10:32:04,2026-08-20 10:45:42,184.0,139.0,70.0,66.22,142.64,76.42,1.81
LAB015-8,LAB015,F3,fermentation_sample,2026-08-20 15:40:35,2026-08-20 15:53:01,168.0,128.0,63.0,62.51,137.72,75.21,2.15
