Fecha,Hora,CodigoLab,Fermentador,Muestra,Brix,Densidad_g_L,Temperatura_C,Vol_Residual_mL,Observaciones
2026-09-01,09:00:00,LAB016,F1,1,15.5,1060.9,21,65,
2026-09-01,09:00:00,LAB017,F2,1,16.3,1064.4,22,71,
2026-09-01,09:00:00,LAB018,F3,1,16.1,1063.9,20.7,66,
2026-09-01,11:00:00,LAB016,F1,2,15.8,1062.6,20.4,65,
2026-09-01,11:00:00,LAB017,F2,2,16.1,1063.6,20.5,71,
2026-09-01,11:00:00,LAB018,F3,2,16.1,1063.8,20.5,66,
2026-09-01,12:30:00,LAB016,F1,3,16,1063.3,20.2,66,
2026-09-01,12:30:00,LAB017,F2,3,16.1,1063.8,20.5,66,
2026-09-01,12:30:00,LAB018,F3,3,16.1,1063.7,20.4,65,
2026-09-01,14:45:00,LAB016,F1,4,15.7,1062.1,20.2,65,
2026-09-01,14:45:00,LAB017,F2,4,16,1063.1,20.9,62,
2026-09-01,14:45:00,LAB018,F3,4,15.9,1062.8,21,56,
2026-09-01,15:45:00,LAB016,F1,5,16,1063.7,20,65,
2026-09-01,15:45:00,LAB017,F2,5,16,1063.2,20.7,63,
2026-09-01,15:45:00,LAB018,F3,5,15.9,1062.8,20.4,62,
2026-09-01,16:45:00,LAB016,F1,6,15.6,1061.7,20.2,60,
2026-09-01,16:45:00,LAB017,F2,6,15.9,1063,20.7,61,
2026-09-01,16:45:00,LAB018,F3,6,15.9,1063.2,19.7,61,
2026-09-02,09:45:00,LAB016,F1,7,13.8,1054,20.2,67,
2026-09-02,09:45:00,LAB017,F2,7,13.7,1053.8,19.7,68,
2026-09-02,09:45:00,LAB018,F3,7,13.8,1054,20.1,65,
2026-09-03,08:15:00,LAB016,F1,8,8.6,1032.4,20,,
2026-09-03,08:15:00,LAB017,F2,8,9,1034.1,19.7,,
2026-09-03,08:15:00,LAB018,F3,8,8.9,1033.4,19.7,,
