timestamp;ph_F1;ph_F2
06-07-2026 14:42;3.693.000;3.969.000
06-07-2026 14:42;3.705.000;3.931.000
06-07-2026 14:42;3.705.000;3.908.000
06-07-2026 14:42;3.694.000;3.877.000
06-07-2026 14:42;3.696.000;3.875.000
06-07-2026 14:42;3.713.000;3.879.000
06-07-2026 14:43;3.709.000;3.858.000
06-07-2026 14:43;3.705.000;3.849.000
06-07-2026 14:43;3.718.000;3.862.000
06-07-2026 14:43;3.723.000;3.858.000
06-07-2026 14:43;3.714.000;3.842.000
06-07-2026 14:43;3.714.000;3.844.000
06-07-2026 14:43;3.717.000;3.850.000
06-07-2026 14:43;3.723.000;3.850.000
06-07-2026 14:43;3.724.000;3.850.000
06-07-2026 14:43;3.719.000;3.845.000
06-07-2026 14:43;3.722.000;3.843.000
06-07-2026 14:43;3.723.000;3.844.000
06-07-2026 14:43;3.728.000;3.850.000
06-07-2026 14:43;3.732.000;3.850.000
06-07-2026 14:43;3.735.000;3.842.000
06-07-2026 14:43;3.734.000;3.835.000
06-07-2026 14:43;3.728.000;3.833.000
06-07-2026 14:43;3.731.000;3.831.000
06-07-2026 14:44;3.729.000;3.830.000
06-07-2026 14:44;3.729.000;3.828.000
06-07-2026 14:44;3.727.000;3.828.000
06-07-2026 14:44;3.729.000;3.839.000
06-07-2026 14:44;3.735.000;3.843.000
06-07-2026 14:44;3.741.000;3.847.000
06-07-2026 14:44;3.742.000;3.838.000
06-07-2026 14:44;3.739.000;3.833.000
06-07-2026 14:44;3.734.000;3.828.000
06-07-2026 14:44;3.732.000;3.831.000
06-07-2026 14:44;3.741.000;3.844.000
06-07-2026 14:44;3.750.000;3.844.000
06-07-2026 14:44;3.744.000;3.832.000
06-07-2026 14:44;3.740.000;3.827.000
06-07-2026 14:44;3.731.000;3.836.000
06-07-2026 14:44;3.756.000;3.858.000
06-07-2026 14:44;3.755.000;3.839.000
06-07-2026 14:45;3.730.000;3.817.000
06-07-2026 14:45;3.730.000;3.826.000
06-07-2026 14:45;3.748.000;3.855.000
06-07-2026 14:45;3.762.000;3.858.000
06-07-2026 14:45;3.759.000;3.846.000
06-07-2026 14:45;3.746.000;3.827.000
06-07-2026 14:45;3.742.000;3.821.000
06-07-2026 14:45;3.741.000;3.820.000
06-07-2026 14:45;3.745.000;3.821.000
06-07-2026 14:45;3.744.000;3.821.000
06-07-2026 14:45;3.738.000;3.817.000
06-07-2026 14:45;3.731.000;3.819.000
06-07-2026 14:45;3.734.000;3.833.000
06-07-2026 14:45;3.739.000;3.844.000
06-07-2026 14:45;3.751.000;3.857.000
06-07-2026 14:45;3.763.000;3.859.000
06-07-2026 14:45;3.763.000;3.853.000
06-07-2026 14:46;3.752.000;3.830.000
06-07-2026 14:46;3.740.000;3.821.000
