timestamp,fermentador,T,SP,banda,cold,hot,nutricion_activa,freq_nut
2026-02-12 12:28:21,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:22,F2,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:23,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:25,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:25,F2,23.0,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:26,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:28,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:29,F2,23.0,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:30,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:31,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:32,F2,23.0,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:33,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:35,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:36,F2,23.0,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:37,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:38,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:39,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:40,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:42,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:43,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:44,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:46,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:47,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:47,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:49,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:50,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:51,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:53,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:54,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:54,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:56,F1,23.1,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:57,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:28:58,F3,25.4,20.00,0.50,1,0,0,1000.0
2026-02-12 12:29:00,F1,23.1,20.00,0.50,0,0,0,1000.0
2026-02-12 12:29:00,F2,22.9,20.00,0.50,1,0,0,1000.0
2026-02-12 12:29:01,F3,25.4,20.00,0.50,0,0,0,1000.0
