pair_index,lab_id,fermenter,co2_segment,raw_file,filt_file,temperature_file,temperature_segment,overlap_h,co2_sample_s,temperature_sample_s,temperature_gaps
0,lab001,F1,28_03_26_1700,CO2_lab001_28_03_26_1700.csv,CO2_FILT_lab001_28_03_26_1700.csv,ing26_lab001.csv,initial,26.15277777777778,10.0,3.0,0
5,lab002,F2,pt3,CO2_F2_lab002_pt3.csv,CO2_FILT_F2_lab002_pt3.csv,Temp_F2_lab002_pt3.csv,pt3,44.958333333333336,10.0,3.0,0
8,lab003,F3,pt3,Desktop_CyT_Tablero_Proceso\CO2_F3_lab003_pt3.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F3_lab003_pt3.csv,Temp_F3_lab003_pt3.csv,pt3,44.952777777777776,10.0,3.0,0
10,lab004,F1,pt2,CO2_F1_LAB004_PT2.csv,CO2_FILT_F1_LAB004_PT2.csv,Temp_F1_lab004_PT2.csv,pt2,171.26833333333335,10.0,3.0,0
12,lab005,F2,pt2,CO2_F2_LAB005_PT2.csv,CO2_FILT_F2_LAB005_PT2.csv,Temp_F2_LAB005_PT2.csv,pt2,171.27444444444444,10.0,3.0,0
14,lab006,F3,pt2,CO2_F3_LAB006_PT2.csv,CO2_FILT_F3_LAB006_PT2.csv,Temp_F3_LAB006_PT2.csv,pt2,194.2552777777778,10.0,3.0,0
15,lab007,F1,main,CO2_F1_lab007.csv,CO2_FILT_F1_lab007.csv,Temp_F1_lab007.csv,main,166.2747222222222,11.0,4.0,0
16,lab008,F2,main,CO2_F2_lab008.csv,CO2_FILT_F2_lab008.csv,Temp_F2_lab008.csv,main,166.27027777777778,11.0,4.0,0
17,lab009,F3,main,CO2_F3_lab009.csv,CO2_FILT_F3_lab009.csv,Temp_F3_lab009.csv,main,166.26277777777779,11.0,4.0,0
19,lab010,F1,pt2,CO2_F1_lab10_PT2.csv,CO2_FILT_F1_lab10_PT2.csv,Temp_F1_lab10_PT2.csv,pt2,210.6675,15.0,5.0,1
21,lab011,F2,pt2,CO2_F2_lab11_PT2..csv,CO2_FILT_F2_lab11_PT2..csv,Temp_F2_lab11_PT2.csv,pt2,210.69472222222223,15.0,5.0,1
23,lab012,F3,pt2,CO2_F3_lab12_PT2.csv,CO2_FILT_F3_lab12_PT2.csv,Temp_F3_lab12_PT2.csv,pt2,210.74,15.0,5.0,1
