lab_id,lab_number,fermenter,segment,complete,raw_file,filt_file,raw_rows,filt_rows,raw_start,raw_end,filt_start,filt_end,overlap_h,raw_sample_s,filt_sample_s,sample_compatible,invalid_timestamps,meaningful_gaps,amplitude_p95_p05_sccm,level_lag_min_preliminary,level_correlation_preliminary,derivative_lag_min_preliminary,derivative_correlation_preliminary,eligible,representative_score,selected,selection_status
lab001,1,F1,28_03_26_1700,True,CO2_lab001_28_03_26_1700.csv,CO2_FILT_lab001_28_03_26_1700.csv,9124,9121,2026-03-28 17:25:02,2026-03-29 19:34:43,2026-03-28 17:25:33,2026-03-29 19:34:43,26.15277777777778,10.0,10.0,True,0,0,10.018039272727272,45.0,0.6902831197345876,41.833333333333336,0.4103968547034442,True,22.830665377283424,True,selected
lab001,1,F1,pt2,True,lab001_co2_pt2.csv,lab001_co2f_pt2.csv,5642,5641,2026-03-29 19:58:49,2026-03-30 12:04:11,2026-03-29 19:58:59,2026-03-30 12:04:11,16.086666666666666,10.0,10.0,True,0,0,7.566114,33.333333333333336,0.9096221163966713,45.5,0.5799676266740782,True,19.53403444052214,False,another segment better represents this experiment
lab001,1,F1,pt3,True,Desktop_CyT_Tablero_Proceso\CO2_F1_lab001_pt3.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F1_lab001_pt3.csv,15783,15783,2026-03-30 12:18:47,2026-04-01 09:16:48,2026-03-30 12:18:47,2026-04-01 09:16:48,44.966944444444444,10.0,10.0,True,0,0,0.0,43.333333333333336,0.4177371953505679,41.166666666666664,0.24596397402293088,False,0.0,False,insufficient dynamic amplitude; weak level correlation
lab002,2,F2,29_03_26_1700,True,CO2_lab002_29_03_26_1700.csv,CO2_FILT_lab002_29_03_26_1700.csv,403,403,2026-03-29 18:25:22,2026-03-29 19:34:43,2026-03-29 18:25:22,2026-03-29 19:34:43,1.1558333333333333,10.0,10.0,True,0,0,1.4583400000000002,-45.666666666666664,0.31641020152080657,-31.666666666666668,0.3791471611531071,False,0.35446287932536974,False,overlap < 12 h; weak level correlation; nonphysical/unstable preliminary lag
lab002,2,F2,pt2,True,lab002_co2_pt2.csv,lab002_co2f_pt2.csv,5638,5634,2026-03-29 19:59:29,2026-03-30 12:04:11,2026-03-29 20:00:10,2026-03-30 12:04:11,16.066944444444445,10.0,10.0,True,0,0,3.1868469090909093,40.833333333333336,0.6444126867253362,40.0,0.44782000771255487,True,5.826484407857892,False,another segment better represents this experiment
lab002,2,F2,pt3,True,CO2_F2_lab002_pt3.csv,CO2_FILT_F2_lab002_pt3.csv,15781,15780,2026-03-30 12:19:07,2026-04-01 09:16:48,2026-03-30 12:19:18,2026-04-01 09:16:48,44.958333333333336,10.0,10.0,True,0,0,5.065755636363634,37.166666666666664,0.6955318617144034,40.333333333333336,0.46381634328008153,True,13.486620915875756,True,selected
lab003,3,F3,29_03_26_1700,True,CO2_lab003_29_03_26_1700.csv,CO2_FILT_lab003_29_03_26_1700.csv,405,404,2026-03-29 18:25:11,2026-03-29 19:34:54,2026-03-29 18:25:22,2026-03-29 19:34:54,1.1588888888888889,10.0,10.0,True,0,0,0.5285390909090909,-33.5,0.5401377641951577,34.833333333333336,0.3961999609337592,False,0.21970662449763803,False,overlap < 12 h; nonphysical/unstable preliminary lag
lab003,3,F3,pt2,True,lab003_co2_pt2.csv,lab003_co2f_pt2.csv,5637,5634,2026-03-29 19:59:40,2026-03-30 12:04:11,2026-03-29 20:00:10,2026-03-30 12:04:11,16.066944444444445,10.0,10.0,True,0,0,0.9678020000000012,41.333333333333336,0.4260389668573283,38.833333333333336,0.4101303285326312,False,1.1698148863103954,False,weak level correlation
lab003,3,F3,pt3,True,Desktop_CyT_Tablero_Proceso\CO2_F3_lab003_pt3.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F3_lab003_pt3.csv,15779,15778,2026-03-30 12:19:38,2026-04-01 09:16:58,2026-03-30 12:19:48,2026-04-01 09:16:58,44.952777777777776,10.0,10.0,True,0,0,1.6341490909090908,41.0,0.5977161786639035,41.0,0.47672684238083,True,3.738650399610195,True,selected
lab004,4,F1,main,True,Desktop_CyT_Tablero_Proceso\CO2_F1_lab004.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F1_lab004.csv,5780,5779,2026-04-06 14:46:32,2026-04-07 07:13:18,2026-04-06 14:46:42,2026-04-07 07:13:18,16.44333333333333,10.0,10.0,True,0,0,0.0,43.5,0.3586355277424308,64.83333333333333,0.3443926113910194,False,0.0,False,insufficient dynamic amplitude; weak level correlation
lab004,4,F1,pt2,True,CO2_F1_LAB004_PT2.csv,CO2_FILT_F1_LAB004_PT2.csv,59779,59771,2026-04-07 08:22:02,2026-04-14 11:39:41,2026-04-07 08:23:34,2026-04-14 11:39:51,171.2686111111111,10.0,10.0,True,0,0,12.535281818181819,42.5,0.8939461927823186,42.333333333333336,0.5546839715069425,True,57.69962731041285,True,selected
lab005,5,F2,main,True,Desktop_CyT_Tablero_Proceso\CO2_F2_lab005.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F2_lab005.csv,5777,5776,2026-04-06 14:47:02,2026-04-07 07:13:18,2026-04-06 14:47:13,2026-04-07 07:13:18,16.434722222222224,10.0,10.0,True,0,0,1.142726590909091,32.833333333333336,0.6689158284390019,116.33333333333333,0.20651159013453502,True,2.18497511352514,False,another segment better represents this experiment
lab005,5,F2,pt2,True,CO2_F2_LAB005_PT2.csv,CO2_FILT_F2_LAB005_PT2.csv,59780,59772,2026-04-07 08:22:33,2026-04-14 11:40:23,2026-04-07 08:23:55,2026-04-14 11:40:23,171.27444444444444,10.0,10.0,True,0,0,10.815428181818183,38.833333333333336,0.9072741362407235,42.166666666666664,0.4771379780073677,True,50.525733966705864,True,selected
lab006,6,F3,main,True,Desktop_CyT_Tablero_Proceso\CO2_F3_lab006.csv,Desktop_CyT_Tablero_Proceso\CO2_FILT_F3_lab006.csv,5774,5773,2026-04-06 14:47:33,2026-04-07 07:13:18,2026-04-06 14:47:43,2026-04-07 07:13:18,16.426388888888887,10.0,10.0,True,0,0,0.6506959999999999,-10.666666666666666,0.6102256692314392,-31.166666666666668,0.39132530880555305,False,1.134824373160754,False,nonphysical/unstable preliminary lag
lab006,6,F3,pt2,True,CO2_F3_LAB006_PT2.csv,CO2_FILT_F3_LAB006_PT2.csv,67693,67683,2026-04-07 08:22:53,2026-04-15 10:39:58,2026-04-07 08:24:36,2026-04-15 10:39:58,194.25611111111112,10.0,10.0,True,0,0,6.547562272727273,42.833333333333336,0.9074563816193912,41.833333333333336,0.48074185857224233,True,31.337995991732768,True,selected
lab007,7,F1,main,True,CO2_F1_lab007.csv,CO2_FILT_F1_lab007.csv,50677,50677,2026-04-17 11:20:51,2026-04-24 09:37:39,2026-04-17 11:21:01,2026-04-24 09:37:51,166.27722222222224,11.0,11.0,True,0,0,13.58457118181818,51.15,0.9603698998826593,47.3,0.49817296649297277,True,66.79207770212636,True,selected
lab008,8,F2,main,True,CO2_F2_lab008.csv,CO2_FILT_F2_lab008.csv,50674,50675,2026-04-17 11:21:22,2026-04-24 09:37:39,2026-04-17 11:21:22,2026-04-24 09:37:51,166.27138888888888,11.0,11.0,True,0,0,10.787795454545455,50.96666666666667,0.9551307217761034,46.75,0.4889634325087448,True,52.75128448010225,True,selected
lab009,9,F3,main,True,CO2_F3_lab009.csv,CO2_FILT_F3_lab009.csv,50673,50673,2026-04-17 11:21:42,2026-04-24 09:37:51,2026-04-17 11:21:53,2026-04-24 09:38:02,166.26611111111112,11.0,11.0,True,0,0,4.503845,55.0,0.87173405639775,49.5,0.3985295349763038,True,20.100288630298223,True,selected
lab010,10,F1,main,True,CO2_F1_lab010.csv,Co2_FILT_F1_lab010.csv,6933,6925,2026-05-12 16:13:25,2026-05-13 11:59:02,2026-05-12 16:14:47,2026-05-13 11:59:02,19.7375,10.0,10.0,True,0,0,0.0,-19.5,0.515652415257574,-26.0,0.1312055944797726,False,0.0,False,insufficient dynamic amplitude; nonphysical/unstable preliminary lag
lab010,10,F1,pt2,True,CO2_F1_lab10_PT2.csv,CO2_FILT_F1_lab10_PT2.csv,56734,56735,2026-05-13 14:39:17,2026-05-22 09:20:08,2026-05-13 14:39:32,2026-05-22 09:20:28,210.67666666666668,15.0,15.0,True,0,2,6.074873333333332,50.5,0.9546984014352535,47.5,0.3198381328316358,True,31.057590520570397,True,selected
lab011,11,F2,main,True,CO2_F2_lab011.csv,CO2_FILT_F2_lab011.csv,6924,6923,2026-05-12 16:14:57,2026-05-13 11:59:02,2026-05-12 16:15:07,2026-05-13 11:59:02,19.731944444444444,10.0,10.0,True,0,0,0.3999254545454545,-26.166666666666668,0.3997544681679734,-36.166666666666664,0.05479481805633607,False,0.4846800225739485,False,insufficient dynamic amplitude; weak level correlation; nonphysical/unstable preliminary lag
lab011,11,F2,pt2,True,CO2_F2_lab11_PT2..csv,CO2_FILT_F2_lab11_PT2..csv,56745,56755,2026-05-13 14:40:31,2026-05-22 09:22:49,2026-05-13 14:40:31,2026-05-22 09:24:29,210.705,15.0,15.0,True,0,2,22.188546666666667,44.75,0.9448968586940739,53.5,0.14705987093901005,True,112.27639358655203,True,selected
lab012,12,F3,main,True,CO2_F3_lab012.csv,CO2_FILT_F3_lab012.csv,6922,6921,2026-05-12 16:15:18,2026-05-13 11:59:02,2026-05-12 16:15:28,2026-05-13 11:59:02,19.726111111111113,10.0,10.0,True,0,0,0.8532319545454544,-36.333333333333336,0.2285129797711804,-35.333333333333336,0.044008113414613394,False,0.5910448217317402,False,weak level correlation; nonphysical/unstable preliminary lag
lab012,12,F3,pt2,True,CO2_F3_lab12_PT2.csv,CO2_FILT_F3_lab12_PT2.csv,56760,56763,2026-05-13 14:40:31,2026-05-22 09:25:20,2026-05-13 14:40:31,2026-05-22 09:25:51,210.74694444444444,15.0,15.0,True,0,2,18.40939,46.0,0.9616259916188046,49.25,0.20490636874958126,True,94.8062239243709,True,selected
