lab_id,fermenter,temperature_file,synchronized_h,full_synchronized_h,experiment_start,requested_window_start,requested_window_end,analysis_window_start,analysis_window_end,analysis_window_start_h,analysis_window_end_h,analysis_samples,analysis_duration_h,co2_sample_s,temperature_sample_s,nominal_filter_sample_s,temperature_gaps,median_clock_offset_s,raw_coverage,temperature_coverage,hampel_window_samples,reconstructed_hampel_spikes,observed_hampel_spikes,hampel_flag_f1,n_thermal_events,n_hot_transitions,n_cold_transitions,n_hot_on_events,n_cold_on_events,n_hot_event_blocks_6h,n_cold_event_blocks_6h,corr_temp_co2,corr_dtemp_dco2,best_lag_min,best_crosscorr,derivative_best_lag_min,derivative_best_crosscorr,hot_event_effect,hot_effect_ci_low,hot_effect_ci_high,hot_event_peak_effect,hot_event_peak_lag_min,hot_effect_sign_consistency,cold_event_effect,cold_effect_ci_low,cold_effect_ci_high,cold_event_peak_effect,cold_event_peak_lag_min,cold_effect_sign_consistency,co2_fast_std_sccm,filt_fast_std_sccm,fast_variance_attenuation_pct,dominant_temp_period_min,dominant_temp_frequency_hz,dominant_co2_period_min,dominant_co2_frequency_hz,coherence_at_temp_peak,max_coherence,max_coherence_period_min,max_coherence_frequency_hz,filter_gain_at_temp_peak,quality_flag
lab001,F1,ing26_lab001.csv,26.15,26.15,2026-03-28 17:25:02,2026-03-28 17:25:40,2026-03-29 19:34:40,2026-03-28 17:25:40,2026-03-29 19:34:40,0.010555555555555556,26.160555555555554,9415,26.15,10.0,3.0,10.0,0,2.0,0.9686670207116304,1.0,12,924,924,1.0,175,89,88,88,87,5,5,0.0002100612828228472,-0.03116145544487201,-3.5,0.4501855538135089,-4.0,0.21337314092348508,1.8813363461030665,0.5763552748717105,2.3562552303789097,3.6743755321959295,5.0,1.0,-0.7766319528203961,-1.6652766209769507,-0.28081478746075866,-1.8749222518413318,10.0,1.0,2.9165865659839816,0.17037896704065414,99.65874248836529,16.253968253968253,0.001025390625,16.253968253968253,0.001025390625,0.9363193361337726,0.9780026985487129,8.031372549019608,0.0020751953125,0.0019908116842671715,good
lab002,F2,Temp_F2_lab002_pt3.csv,44.955555555555556,44.955555555555556,2026-03-30 12:19:07,2026-03-30 12:19:20,2026-04-01 09:16:40,2026-03-30 12:19:20,2026-04-01 09:16:40,0.003611111111111111,44.95916666666667,16185,44.955555555555556,10.0,3.0,10.0,0,1.0,0.9749150447945628,1.0,12,472,472,1.0,182,41,63,40,63,4,5,-0.20148675579865205,-0.13965899992640815,2.0,-0.2908445486746771,0.6666666666666666,-0.1758765818887147,0.8989906284372837,,,2.675196325605035,3.0,1.0,-0.40299520577712356,-1.0139065416746087,-0.2866531103779256,-1.365751239247117,1.0,1.0,1.4479176568729462,0.08060073672754851,99.69012232093912,15.515151515151516,0.00107421875,56.88888888888888,0.00029296875000000004,0.8764499796878913,0.9127884576477863,13.128205128205128,0.00126953125,0.001725212727859707,good
lab003,F3,Temp_F3_lab003_pt3.csv,44.95,44.95,2026-03-30 12:19:38,2026-03-30 12:19:50,2026-04-01 09:16:50,2026-03-30 12:19:50,2026-04-01 09:16:50,0.0033333333333333335,44.95333333333333,16183,44.95,10.0,3.0,10.0,0,0.0,0.9749119446332571,1.0,12,179,179,1.0,129,1,68,1,65,1,8,-0.07527524115275272,-0.0900929131216889,6.166666666666667,-0.14832109100443694,3.1666666666666665,0.15006631999221923,7.956632284779548,,,41.560422295876684,7.0,1.0,-0.2642724340053926,-0.33571154287984106,-0.18679148375351146,-0.6173963927145238,3.0,0.875,1.0478093358540506,0.05426773955603206,99.73176284337877,62.06060606060606,0.0002685546875,62.06060606060606,0.0002685546875,0.5824775477677234,0.9359008884236214,7.26241134751773,0.002294921875,0.11708765536816365,good
lab004,F1,Temp_F1_lab004_PT2.csv,171.26666666666668,171.26666666666668,2026-04-07 08:22:02,2026-04-07 08:23:40,2026-04-14 11:39:40,2026-04-07 08:23:40,2026-04-14 11:39:40,0.02722222222222222,171.2938888888889,61657,171.26666666666668,10.0,3.0,10.0,0,2.0,0.9693789837325851,0.9999351249655352,12,2203,2203,1.0,892,145,371,145,367,14,29,-0.1426617372498695,-0.16005614979621866,-5.333333333333333,0.30698882319694315,1.0,-0.236007005248912,1.6048102528406667,0.5684647717733551,2.42143261884568,4.859464208188643,2.0,1.0,-1.2301892793848215,-2.3522560231275524,-0.4064499937342058,-2.093237025830383,3.0,0.8620689655172413,2.3622866296933798,0.18266192683438917,99.40209678964804,56.88888888888888,0.00029296875000000004,15.170370370370371,0.0010986328125,0.3255743228539664,0.8966186741911584,15.170370370370371,0.0010986328125,0.08757901298963179,good
lab005,F2,Temp_F2_LAB005_PT2.csv,39.99722222222222,171.2722222222222,2026-04-07 08:22:33,2026-04-08 04:22:33,2026-04-09 20:22:33,2026-04-08 04:22:40,2026-04-09 20:22:30,20.001944444444444,59.99916666666667,14400,39.99722222222222,10.0,3.0,10.0,0,1.0,0.9693799769701098,0.999967563534926,12,944,944,1.0,258,0,231,0,226,0,7,0.07702766572900398,0.044323516065559114,-3.1666666666666665,0.12489728328667701,26.0,0.07333360469879212,,,,,,,-0.3772002477833832,-0.5775129005359161,-0.3175052580709958,-0.6985093680124619,9.0,1.0,2.185512236195946,0.1482135863513146,99.54009350013139,68.26666666666667,0.000244140625,28.44444444444444,0.0005859375000000001,0.0009428514589889495,0.7065568485610914,6.440251572327043,0.0025878906250000003,0.14788593577043024,good
lab006,F3,Temp_F3_LAB006_PT2.csv,194.25277777777777,194.25277777777777,2026-04-07 08:22:53,2026-04-07 08:24:40,2026-04-15 10:39:50,2026-04-07 08:24:40,2026-04-15 10:39:50,0.029722222222222223,194.2825,69932,194.25277777777777,10.0,3.0,10.0,0,0.0,0.9678258880054911,0.9996854086827204,12,1093,1093,1.0,949,31,458,29,457,7,32,-0.08094309840109401,-0.06128999336258723,-8.166666666666666,0.12311812291457143,0.5,-0.06850692708036298,0.29553751784613275,0.25789730207150724,2.290686975747917,2.4742207816011645,3.0,0.8571428571428571,-0.5485787921156827,-0.880526400945137,-0.4247567987209929,-0.907909799228404,3.0,1.0,1.4211622526965875,0.09262652414183013,99.57520107699975,75.85185185185185,0.0002197265625,56.88888888888888,0.00029296875000000004,0.05717007374735499,0.3384753027422325,29.68115942028985,0.0005615234375000001,0.19444549807506303,good
lab007,F1,Temp_F1_lab007.csv,166.2711111111111,166.2711111111111,2026-04-17 11:20:51,2026-04-17 11:21:10,2026-04-24 09:37:26,2026-04-17 11:21:10,2026-04-24 09:37:26,0.005277777777777778,166.2763888888889,54417,166.2711111111111,11.0,4.0,10.0,0,2.0,0.9088703897679035,0.9575867835419078,12,1190,1190,1.0,461,144,129,144,128,17,14,-0.021828725775025756,-0.022814452899841704,11.366666666666667,-0.19222532647500196,0.55,-0.04783347893727835,0.2971983427421301,0.07795626660328273,1.5877526005234464,1.2965408243876173,4.0,1.0,-0.23781364729097876,-2.255355217546426,-0.04201541939234654,-1.4712454756542872,8.0,0.7857142857142857,1.8371017730188113,0.11019608546870845,99.64019607073261,62.577777777777776,0.00026633522727272725,53.63809523809524,0.0003107244318181818,0.07183828728018425,0.3281439703393411,46.93333333333333,0.0003551136363636364,0.07701912284162017,good
lab008,F2,Temp_F2_lab008.csv,166.265,166.265,2026-04-17 11:21:22,2026-04-17 11:21:32,2026-04-24 09:37:26,2026-04-17 11:21:32,2026-04-24 09:37:26,0.002777777777777778,166.26777777777778,54415,166.265,11.0,4.0,10.0,0,1.0,0.908867040338142,0.9587613709455114,12,999,999,1.0,461,186,90,186,89,17,8,0.04359350189402356,-0.014232531591147202,-5.683333333333334,0.15049406320615977,0.7333333333333333,-0.03778466709015508,0.4555091137903991,0.2935586341954344,1.2903968440879625,0.922142685010484,5.0,0.9411764705882353,-0.04845515411152926,-1.8274157119117103,0.037108315088619,-0.9272341556878231,11.0,0.75,1.4862378496662,0.09025933709463432,99.63118579074171,53.63809523809524,0.0003107244318181818,62.577777777777776,0.00026633522727272725,0.045409572393315153,0.15071429204943898,75.09333333333333,0.00022194602272727275,0.05123681957088331,good
lab009,F3,Temp_F3_lab009.csv,166.26194444444445,166.26194444444445,2026-04-17 11:21:42,2026-04-17 11:21:54,2026-04-24 09:37:37,2026-04-17 11:21:54,2026-04-24 09:37:37,0.0033333333333333335,166.26527777777778,54414,166.26194444444445,11.0,4.0,10.0,0,0.0,0.9088653655309296,0.9582644172455618,12,706,706,1.0,743,236,186,236,185,21,19,-0.011534690615500246,-0.039107647435902435,-5.5,0.09395994577191544,0.55,-0.050861971619372864,0.0953591438718856,0.08996400650998866,0.49342535632680407,0.5775660768086507,26.0,0.8571428571428571,-0.052869364607183805,-0.41574925911912974,-0.06787396712359797,-0.43345212919107795,3.0,0.9473684210526315,1.3140108745550059,0.06220841172443778,99.7758698365829,11.733333333333333,0.0014204545454545455,62.577777777777776,0.00026633522727272725,0.02276221346865304,0.2220458561402342,2.3034764826175866,0.007235440340909091,0.0006912703626489022,good
lab010,F1,Temp_F1_lab10_PT2.csv,138.39166666666668,138.39166666666668,2026-05-13 14:39:17,2026-05-13 14:39:45,2026-05-19 09:03:15,2026-05-13 14:39:45,2026-05-19 09:03:15,0.0077777777777777776,138.39944444444444,33215,138.39166666666668,15.0,5.0,10.0,1,2.0,0.9994462025316456,0.9994462025316456,12,519,520,0.9971126082771896,673,0,358,0,356,0,19,-0.048436226640901046,-0.049902070449942784,-7.75,0.12318262715183258,0.5,-0.06055142821274157,,,,,,,-0.15363956634668885,-0.3746832258180951,-0.010073384101905496,-0.36954149186415514,4.0,0.7894736842105263,0.7553166747078535,0.013459298562580395,99.96824685774199,42.666666666666664,0.000390625,56.888888888888886,0.00029296875,0.07516781016970088,0.2782969595834998,19.692307692307693,0.0008463541666666667,0.013462385901195832,good
