lab_id,lab_number,fermenter,segment,relative_path,rows,columns,start,end,duration_h,sample_s_median,invalid_timestamps,duplicate_timestamps,meaningful_gaps,hot_fraction,cold_fraction,sha256,path_depth,canonical_file,duplicate_copy
lab010,10.0,F1,main,Temp_F1_lab010.csv,20793,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-05-12 16:13:16,2026-05-13 11:58:36,19.755555555555556,3.0,1,0,0,0.0,0.11258596643101043,06655a86eb8fe05adf6672cfc1459fc0ddb2b24200ef182891968a67da3b2002,1,True,False
lab002,2.0,F2,pt2,lab002_T_pt2.csv,16916,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:59:08,2026-03-30 12:04:10,16.08388888888889,3.0,0,0,0,0.5652636557105699,0.00035469378103570584,18d3235eb659844e6cb752824eaa798aec32257176e0aca85aa3ebc7c3091111,1,True,False
lab002,2.0,F2,pt2,Desktop_CyT_Tablero_Proceso\lab002_T_pt2.csv,16916,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:59:08,2026-03-30 12:04:10,16.08388888888889,3.0,0,0,0,0.5652636557105699,0.00035469378103570584,18d3235eb659844e6cb752824eaa798aec32257176e0aca85aa3ebc7c3091111,2,False,True
lab011,11.0,F2,pt2,Temp_F2_lab11_PT2.csv,152382,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-05-13 14:40:25,2026-05-22 09:22:12,210.6963888888889,5.0,0,0,1,0.1284469294273602,0.13080941318528436,21758d0f42668b08fd5f6e43b4f853b0585e6fc9b798e23a801a1ff95be21bbe,1,True,False
lab012,12.0,F3,main,Temp_F3_lab012.csv,20767,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-05-12 16:15:11,2026-05-13 11:59:02,19.730833333333333,3.0,1,0,0,0.0,0.20518129725044543,22fd022f178c5501a146e2a558fee3f4fe3974339ec54ac3848e884d59789ec9,1,True,False
lab010,10.0,F1,pt2,Temp_F1_lab10_PT2.csv,152377,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-05-13 14:38:15,2026-05-22 09:19:35,210.6888888888889,5.0,0,0,1,0.00019688010657776435,0.2898862689251002,31a55e032c6d02e065a52bb9a5b2fdf2f0cb7740b0e97fecfbeb47507f8d930a,1,True,False
lab001,1.0,F1,pt2,lab001_T_pt2.csv,16937,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:57:52,2026-03-30 12:04:06,16.10388888888889,3.0,0,0,0,0.5376985298458995,0.0017712700005904232,369ae69a299528cbcf78a2b8346bceee564e9b94df25f1aabbba56d63af6809c,1,True,False
lab001,1.0,F1,pt2,Desktop_CyT_Tablero_Proceso\lab001_T_pt2.csv,16937,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:57:52,2026-03-30 12:04:06,16.10388888888889,3.0,0,0,0,0.5376985298458995,0.0017712700005904232,369ae69a299528cbcf78a2b8346bceee564e9b94df25f1aabbba56d63af6809c,2,False,True
lab006,6.0,F3,main,Desktop_CyT_Tablero_Proceso\Temp_F3_lab006.csv,17325,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-04-06 14:47:23,2026-04-07 07:13:25,16.433888888888887,3.0,0,0,0,0.0,0.1447041847041847,47e1dcbd81cfe9ec70fc0adbe1fdec309bd1873bf14f2270378cdb2d84caadba,2,True,False
lab012,12.0,F3,pt2,Temp_F3_lab12_PT2.csv,152414,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-05-13 14:40:26,2026-05-22 09:24:55,210.74138888888888,5.0,0,0,1,0.05873476189851326,0.11856522366711719,52a5da0e69da89a444097d444e3c6d85687e25d48449349cd6538e66c67e88bd,1,True,False
,,F2,main,Desktop_CyT_Tablero_Proceso\Temp_F2.csv,142183,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-02-19 17:42:51,2026-02-25 12:01:39,138.31333333333333,3.0,0,0,0,0.0,0.12617542181554756,5d86d5c13e16e242b498923cf51ca8accf16c09a23fcfa8f808e430f845475ef,2,True,False
lab003,3.0,F3,pt2,lab003_T_pt2.csv,16905,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:59:50,2026-03-30 12:04:14,16.073333333333334,3.0,0,0,0,0.10068027210884353,0.14723454599230998,639f4315cafae4fc573aa34a4b9040ac3451205300376eafb2ef28263600e61c,1,True,False
lab003,3.0,F3,pt2,Desktop_CyT_Tablero_Proceso\lab003_T_pt2.csv,16905,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-29 19:59:50,2026-03-30 12:04:14,16.073333333333334,3.0,0,0,0,0.10068027210884353,0.14723454599230998,639f4315cafae4fc573aa34a4b9040ac3451205300376eafb2ef28263600e61c,2,False,True
lab005,5.0,F2,main,Desktop_CyT_Tablero_Proceso\Temp_F2_lab005.csv,17333,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-04-06 14:46:55,2026-04-07 07:13:24,16.441388888888888,3.0,0,0,0,0.0,0.020192696013384873,63c25d73a39391b9f19cac97f265192fc4bf740329f54f7452ed0bcae28edc42,2,True,False
lab005,5.0,F2,pt2,Temp_F2_LAB005_PT2.csv,179382,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-04-07 08:21:03,2026-04-14 11:40:25,171.3227777777778,3.0,0,0,0,0.0029322897503651427,0.12603271231227214,66203d0de25c6f9784b84a9b89206a19e56de9b0515c834edc89ba14b8c413a5,1,True,False
lab004,4.0,F1,main,Desktop_CyT_Tablero_Proceso\Temp_F1_lab004.csv,17346,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-04-06 14:46:13,2026-04-07 07:13:27,16.45388888888889,3.0,0,0,0,0.003113109650639917,0.03430185633575464,7d86827b93d07c628ca851c913b0289e42ce625ba7a35eebde64a9676ad05cfe,2,True,False
lab001,1.0,F1,pt3,Temp_F1_lab001_pt3.csv,47351,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-30 12:18:32,2026-04-01 09:16:46,44.970555555555556,3.0,0,0,0,0.007222656332495618,0.009165593123693269,85d1200deeca845c23f111bd711576b13593754c3db5b823f7ae0b9693a05e59,1,True,False
lab001,1.0,F1,pt3,Desktop_CyT_Tablero_Proceso\Temp_F1_lab001_pt3.csv,47351,timestamp|fermentador|T|SP|banda|cold|hot|nutricion_activa|freq_nut,2026-03-30 12:18:32,2026-04-01 09:16:46,44.970555555555556,3.0,0,0,0,0.007222656332495618,0.009165593123693269,85d1200deeca845c23f111bd711576b13593754c3db5b823f7ae0b9693a05e59,2,False,True
