sample_s,feature_period_h,frequency_hz,group_delay_samples,group_delay_s,group_delay_min
10.0,inf,0.0,239.99861115797643,2399.9861115797644,39.999768526329404
10.0,0.5,0.0005555555555555556,14.111388826232105,141.11388826232104,2.3518981377053505
10.0,1.0,0.0002777777777777778,63.04817349321894,630.4817349321894,10.50802891553649
10.0,2.0,0.0001388888888888889,284.72864751874994,2847.2864751874995,47.45477458645833
10.0,4.0,6.944444444444444e-05,285.0626961954525,2850.6269619545246,47.51044936590874
10.0,8.0,3.472222222222222e-05,249.2705767426668,2492.705767426668,41.5450961237778
10.0,12.0,2.3148148148148147e-05,243.86988797464474,2438.6988797464473,40.64498132910746
10.0,24.0,1.1574074074074073e-05,240.9262914349921,2409.2629143499207,40.15438190583201
10.0,48.0,5.787037037037037e-06,240.22794643393524,2402.2794643393527,40.03799107232255
11.0,inf,0.0,218.18029035158662,2399.983193867453,39.99971989779088
11.0,0.5,0.0005555555555555556,12.828807231149199,141.1168795426412,2.351947992377353
11.0,1.0,0.0002777777777777778,57.31682494995419,630.4850744494961,10.508084574158268
11.0,2.0,0.0001388888888888889,258.8449069589253,2847.2939765481788,47.45489960913631
11.0,4.0,6.944444444444444e-05,259.1477689765568,2850.6254587421245,47.51042431236874
11.0,8.0,3.472222222222222e-05,226.60937531768695,2492.7031284945565,41.545052141575944
11.0,12.0,2.3148148148148147e-05,221.69964451594578,2438.6960896754035,40.64493482792339
11.0,24.0,1.1574074074074073e-05,219.02363906805348,2409.2600297485883,40.15433382914314
11.0,48.0,5.787037037037037e-06,218.38877772580227,2402.276554983825,40.03794258306375
15.0,inf,0.0,159.99791666480496,2399.9687499720744,39.99947916620124
15.0,0.5,0.0005555555555555556,9.408779646048107,141.1316946907216,2.3521949115120266
15.0,1.0,0.0002777777777777778,42.033440894895705,630.5016134234356,10.508360223723928
15.0,2.0,0.0001388888888888889,189.8220747993599,2847.3311219903985,47.45551869983998
15.0,4.0,6.944444444444444e-05,190.04120111526632,2850.618016728995,47.51030027881658
15.0,8.0,3.472222222222222e-05,166.1793375655604,2492.690063483406,41.5448343913901
15.0,12.0,2.3148148148148147e-05,162.57881852340776,2438.6822778511164,40.64470463085194
15.0,24.0,1.1574074074074073e-05,160.6163832508652,2409.245748762978,40.1540958127163
15.0,48.0,5.787037037037037e-06,160.150810144814,2402.26215217221,40.0377025362035
