lab_id,fermenter,segment,window_start,window_end,window_h,amplitude_sccm,level_lag_min,level_correlation,derivative_lag_min,derivative_correlation
lab001,F1,28_03_26_1700,2026-03-28 17:25:40,2026-03-29 01:25:30,8.0,4.91989523791106,44.666666666666664,0.669942942810765,31.666666666666668,0.2994708159476539
lab001,F1,28_03_26_1700,2026-03-28 21:25:40,2026-03-29 05:25:30,8.0,7.903781874792994,8.0,0.4072424234780785,11.666666666666666,0.08693159700240018
lab001,F1,28_03_26_1700,2026-03-29 05:25:40,2026-03-29 13:25:30,8.0,6.49170299751933,45.5,0.4471508693642619,44.5,0.4248300747233636
lab001,F1,28_03_26_1700,2026-03-29 09:25:40,2026-03-29 17:25:30,8.0,8.246093232784446,36.833333333333336,0.51185278496123,42.833333333333336,0.3627645370360207
lab002,F2,pt3,2026-03-30 12:19:20,2026-03-30 20:19:10,8.0,6.3191420302571455,42.833333333333336,0.6022191304002975,40.833333333333336,0.48031459236511953
lab002,F2,pt3,2026-03-30 20:19:20,2026-03-31 04:19:10,8.0,1.5763785213438193,39.0,0.7128677608397813,39.333333333333336,0.29805019484767686
lab002,F2,pt3,2026-03-31 00:19:20,2026-03-31 08:19:10,8.0,0.8475409740706045,35.666666666666664,0.5749794011035672,38.833333333333336,0.2749549283928714
lab002,F2,pt3,2026-03-31 04:19:20,2026-03-31 12:19:10,8.0,0.3704284553362964,19.666666666666668,0.5111137387615707,39.0,0.4193554822397566
lab002,F2,pt3,2026-03-31 08:19:20,2026-03-31 16:19:10,8.0,1.458775417085615,34.5,0.7130217017154782,34.833333333333336,0.40596584024407234
lab002,F2,pt3,2026-03-31 12:19:20,2026-03-31 20:19:10,8.0,1.9337170125119867,42.166666666666664,0.6625569432364053,41.833333333333336,0.4800620761733036
lab002,F2,pt3,2026-03-31 16:19:20,2026-04-01 00:19:10,8.0,2.130254353572541,-5.333333333333333,0.40877743793463994,-23.0,0.23462252195461694
lab002,F2,pt3,2026-04-01 00:19:20,2026-04-01 08:19:10,8.0,0.7721057061677854,14.833333333333334,0.46541048344624275,44.0,0.17366560577897563
lab003,F3,pt3,2026-03-30 12:19:50,2026-03-30 20:19:40,8.0,2.4662036140384656,42.333333333333336,0.6628966575324203,41.0,0.4949940719526418
lab003,F3,pt3,2026-03-30 16:19:50,2026-03-31 00:19:40,8.0,1.1900255888301141,15.0,0.7445984879596905,53.166666666666664,0.19554248362028268
lab003,F3,pt3,2026-03-30 20:19:50,2026-03-31 04:19:40,8.0,0.7274396750034029,44.0,0.4101411065832931,40.666666666666664,0.40634728113751056
lab003,F3,pt3,2026-03-31 00:19:50,2026-03-31 08:19:40,8.0,0.5556807362895062,43.333333333333336,0.3376636405522224,43.333333333333336,0.1945704064854016
lab003,F3,pt3,2026-03-31 04:19:50,2026-03-31 12:19:40,8.0,0.5080919747243173,41.0,0.3313475803380958,40.666666666666664,0.4112643080395655
lab003,F3,pt3,2026-03-31 08:19:50,2026-03-31 16:19:40,8.0,0.8465980602582441,25.166666666666668,0.7842248378589479,33.166666666666664,0.4720120467562386
lab003,F3,pt3,2026-03-31 12:19:50,2026-03-31 20:19:40,8.0,1.0712569928247966,42.166666666666664,0.6047715663492624,41.0,0.524263342037163
