contrafactual,qpred_peak,qpred_integral,nota
LAB010 base,0.2816356947494244,16.942784602114365,referencia
LAB010 + T(LAB011: 18-15-21),0.27825242726960236,16.41625044786555,swap T
LAB010 + X0(LAB004: 0.394),0.2594659661468995,18.5098794606769,swap X0
LAB010 + ICs completas(LAB004),0.2532676216802626,17.421496059299866,swap ICs
LAB011 base,0.3435796329005103,16.628299858503496,"referencia (obs: peak 0.877, int 35.7)"
LAB011 + X0(LAB008: 0.253),0.302990553624366,18.90661475800531,swap X0
LAB011 + T(LAB008: A),0.3235120299020945,15.421576567761077,swap T
LAB011 + T y X0(LAB008),0.29620739258291706,18.16665250392651,swap T+X0
LAB012 base,0.43003531146971957,27.955388806498462,"referencia (obs: peak 0.835, int 41.8)"
LAB012 + X0(LAB008),0.3333656824285379,26.373120198604383,swap X0
