contrafactual,qpred_peak,qpred_integral,nota
LAB010 base,0.3105989967082116,12.202934037116695,referencia
LAB010 + T(LAB011: 18-15-21),0.270429467993343,9.927845968719504,swap T
LAB010 + X0(LAB004: 0.394),0.3108105336853977,18.1319553420205,swap X0
LAB010 + ICs completas(LAB004),0.3095909254879978,16.706632185768445,swap ICs
LAB011 base,0.34950879967988546,10.575710953053658,"referencia (obs: peak 0.877, int 35.7)"
LAB011 + X0(LAB008: 0.253),0.36910048008360785,19.469356524666647,swap X0
LAB011 + T(LAB008: A),0.2418676343569602,7.63397809286298,swap T
LAB011 + T y X0(LAB008),0.3506945587217709,17.927530913459478,swap T+X0
LAB012 base,0.5123494078832526,25.364743019651172,"referencia (obs: peak 0.835, int 41.8)"
LAB012 + X0(LAB008),0.38666169868727296,27.391165557567,swap X0
