LAB,sample_times_h,repair_start_h,repair_end_h,pre_clean_region_h,post_clean_region_h,hours_replaced,signature,min_residual_g_l_h,max_residual_g_l_h
LAB004,"43, 50",44.0,54.0,41-43,55-57,11,drop+spike,-0.5074262743623758,0.12441724277669697
LAB004,"67, 68, 74",70.0,76.0,67-69,77-79,7,drop,-0.2722068225687603,0.04950464894484685
LAB004,"91, 98",92.0,98.0,89-91,99-101,7,drop+spike,-0.2144002600704418,0.08427805815808681
LAB004,"115, 122",118.0,123.0,115-117,124-126,6,spike,-0.03736148145118841,0.110822452684307
LAB007,"40, 48",44.0,49.0,41-43,50-52,6,drop+spike,-0.19717832712160016,0.09961530808015007
LAB007,"64, 65, 72",66.0,73.0,63-65,74-76,8,drop,-0.24182098153476828,-0.06162259008485099
LAB007,"88, 96",89.0,96.0,86-88,97-99,8,drop+spike,-0.23773347778325055,0.23375089127104015
LAB007,"112, 120",113.0,121.0,110-112,122-124,9,drop+spike,-0.09034843595041386,0.2355433360292632
LAB008,"40, 48",45.0,55.0,42-44,56-58,11,drop+spike,-0.15636218319288064,0.12191607869701981
LAB008,"64, 65, 72",67.0,73.0,64-66,74-76,7,drop,-0.16363011713338155,-0.05330441660590851
LAB008,"88, 96",89.0,98.0,86-88,99-101,10,drop+spike,-0.20147945543193108,0.22746880562385224
LAB008,"112, 120",113.0,121.0,110-112,122-124,9,drop+spike,-0.07399967905256624,0.2107589634964816
