parameter,theta,source
mu0,0.0787279167844739,laboratory_2026\results\estimability_historical_natural\theta.csv
sN,8.751445870938538,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
qN,0.0210803824284854,laboratory_2026\results\estimability_historical_natural\theta.csv
qXG,0.0814909864046577,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
qXF,0.0709327065015376,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
betaG0,0.4288780029973869,laboratory_2026\results\estimability_historical_natural\theta.csv
sG,0.0974550987386739,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
betaF0,3.440399174765835,laboratory_2026\results\estimability_historical_natural\theta.csv
sF,0.1782952055176543,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
qEG,1.712806793770099,laboratory_2026\results\estimability_historical_natural\theta.csv
qEF,5.023016750172416,laboratory_2026\results\estimability_historical_natural\theta.csv
iG,0.0560374372695645,laboratory_2026\results\estimability_historical_natural\theta.csv
iE,0.0401679409799797,laboratory_2026\results\estimability_historical_natural\theta.csv
Kd0,0.0001502495478967,laboratory_2026\results\estimability_historical_natural\theta.csv
m0,0.0183385793928771,shared\results\new_must_glycerol_overnight_validation\theta_multistart_07.csv
gammaG0,0.1155587913675031,laboratory_2026\results\estimability_historical_natural\theta.csv
gammaF0,0.000100001621599,laboratory_2026\results\estimability_historical_natural\theta.csv
