process,sample_id,sample_id_raw,sample_sequence,sample_id_repaired,sample_collection_datetime_raw,sample_collection_datetime,analysis_datetime,time_source,t0,t_h,oculyze_concentration_million_cells_ml,viability_percent,budding_index_percent,density_oculyze,temperature_oculyze_c,x_total_g_l,x_viable_g_l,x_dead_g_l,source_file
F1,DOE-LAB004-1,DOE-LAB004-1,1,False,2026-07-06 12:00:00,2026-07-06 12:00:00,2026-07-06 14:54:05,oculyze_description,2026-07-06 12:00:00,0.0,3.61,69.15,21.28,1068.6,19.7,0.1083,0.07488945,0.03341055,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-3,DOE-LAB004-3,3,False,2026-07-06 16:30:00,2026-07-06 16:30:00,2026-07-06 16:56:33,oculyze_description,2026-07-06 12:00:00,4.5,7.07,85.87,20.11,1069.9,20.0,0.2121,0.18213027,0.02996973,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-4,DOE-LAB004-4,4,False,2026-07-07 09:00:00,2026-07-07 09:00:00,2026-07-07 08:38:47,oculyze_description,2026-07-06 12:00:00,21.0,10.06,92.75,29.39,1061.1,19.6,0.3018,0.27991950000000004,0.02188049999999997,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-5,DOE-LAB004-5,5,False,2026-07-07 12:00:00,2026-07-07 12:00:00,2026-07-07 14:35:03,oculyze_description,2026-07-06 12:00:00,24.0,12.52,94.48,27.61,1062.0,19.3,0.3756,0.35486688,0.020733119999999994,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-6,DOE-LAB004-6,6,False,2026-07-07 15:00:00,2026-07-07 15:00:00,2026-07-07 15:29:57,oculyze_description,2026-07-06 12:00:00,27.0,15.09,94.66,25.95,1060.6,19.6,0.4527,0.42852582,0.02417417999999999,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-7,DOE-LAB004-7,7,False,2026-07-07 17:00:00,2026-07-07 17:00:00,2026-07-07 17:14:56,oculyze_description,2026-07-06 12:00:00,29.0,11.29,94.56,27.55,1056.5,21.6,0.33869999999999995,0.32027471999999996,0.01842527999999999,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-8,DOE-LAB004-8,8,False,2026-07-08 09:00:00,2026-07-08 09:00:00,2026-07-08 10:10:00,oculyze_description,2026-07-06 12:00:00,45.0,42.93,96.78,25.4,1048.0,20.1,1.2879,1.24642962,0.04147038000000003,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-9,DOE-LAB004-9,9,False,2026-07-08 14:30:00,2026-07-08 14:30:00,2026-07-08 14:48:39,oculyze_description,2026-07-06 12:00:00,50.5,49.08,97.34,26.29,1043.9,20.5,1.4724,1.43323416,0.039165839999999896,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-10,DOE-LAB004-10,10,False,2026-07-08 16:00:00,2026-07-08 16:00:00,2026-07-08 16:44:04,oculyze_description,2026-07-06 12:00:00,52.0,48.16,95.85,24.88,1042.5,20.9,1.4447999999999999,1.3848407999999999,0.05995919999999999,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
F1,DOE-LAB004-11,DOE-LAB004-11,11,False,2026-07-09 09:30:00,2026-07-09 09:30:00,2026-07-09 10:19:16,oculyze_description,2026-07-06 12:00:00,69.5,46.85,98.2,18.03,1026.0,21.8,1.4055,1.3802010000000002,0.02529899999999974,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Oculyze_LAB004.csv
