process,kind,path,status,n_rows
F1,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Temp_F1.csv,loaded,74594
F1,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\Temp_F1_pt2.csv,loaded,29032
F1,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\CO2_FILT_F1.csv,loaded,24865
F1,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F04_F1_Lot2_synthetic_glucose_rich_fructose_pulse\CO2_FILT_F1_pt2.csv,loaded,9678
F2,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\Temp_F2.csv,loaded,74569
F2,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\Temp_F2_pt2.csv,loaded,29028
F2,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_FILT_F2.csv,loaded,24856
F2,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_FILT_F2_pt2.csv,loaded,9675
F2,co2_raw_fallback,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F05_F2_Lot2_synthetic_lit_SM410_24C_highN_strip\CO2_F2.csv,loaded_uncovered_rows,1
F3,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\Temp_F3.csv,loaded,74542
F3,temperature,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\Temp_F3_pt2.csv,loaded,29032
F3,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\CO2_FILT_F3.csv,loaded,24847
F3,co2_filtered,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\CO2_FILT_F3_pt2.csv,loaded,9678
F3,co2_raw_fallback,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Laboratorio 2026\MBDoE_2026\DOE_Lote_2\DOE26-F06_F3_Lot2_synthetic_viable_biomass_step\CO2_F3.csv,loaded_uncovered_rows,1
