matrix,state,n,wsse,bias_g_L,rmse_g_L,weighted_rmse
natural,E,35,1727.2663034563868,-0.0803727632799418,14.069685507419644,7.024988669958097
natural,F,82,1917.5782247851369,0.5310290933968387,12.089535842583496,4.835814337033399
natural,G,82,1836.737902439672,0.27523189202008413,11.831959556820811,4.732783822728324
natural,Gly,82,787.2753964100218,-0.1066933281250046,1.1417932746842272,3.0985350519906825
natural,N,82,1521.1232328470403,-0.03888445981702547,0.06467190680895668,4.307003985069311
natural,X,91,3560.695925657506,-0.13414517803716797,0.5914776272434794,6.255279902256732
natural,Xd,91,321.40783372480837,-0.007506014568461511,0.12253670812239259,1.8793494131630062
synthetic,E,63,1023.1138880536535,-0.767952585527484,8.25205234029744,4.029876298967331
synthetic,F,117,1059.247423935791,-0.01789122350730617,7.668075210069472,3.0088863032318107
synthetic,G,117,3227.005359720044,-0.36530990312221323,13.507180982511505,5.25178468625377
synthetic,Gly,114,739.0840937423213,-0.08629727192456509,0.8934787509957144,2.5462116574937768
synthetic,N,113,5927.016978578496,-0.08562284043894612,0.11741885156046364,7.2423392413318615
synthetic,X,122,2908.6124844346273,-0.11723046740433112,0.46138063261690576,4.882733449410151
synthetic,Xd,122,2992.831000781209,-0.29844888295557837,0.4115015302490655,4.952918497789724
