LAB,fecha_experimento,grupo_o_lote,variable,value,unit,status,source_lab,source_file,source_sheet,source_column,measurement_datetime,time_relative_to_inoculation_h,potential_outlier,notes
LAB001,2026-03-25,G1_Lote1_Vendimia,E0,8.997335999999999,g/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Cf Alcolyzer Real (%v/v) *7.8924,2026-03-25 16:00,-2.0,False,conversion %v/v->g/L desde Alcolyzer Real medido
LAB001,2026-03-25,G1_Lote1_Vendimia,F0,78.96999999999998,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Fructosa,2026-03-25 16:00,-2.0,False,
LAB001,2026-03-25,G1_Lote1_Vendimia,G0,81.17,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glucosa,2026-03-25 16:00,-2.0,False,
LAB001,2026-03-25,G1_Lote1_Vendimia,Gly0,0.93,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glicerol,2026-03-25 16:00,-2.0,False,
LAB001,2026-03-25,G1_Lote1_Vendimia,N0,0.23222,kg/m3,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,YAN0*1e-3,2026-03-25 16:00,-2.0,False,
LAB001,2026-03-25,G1_Lote1_Vendimia,X0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=15.71, Viab=11.29)"
LAB001,2026-03-25,G1_Lote1_Vendimia,Xd0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=15.71, Viab=11.29)"
LAB001,2026-03-25,G1_Lote1_Vendimia,YAN0,232.22,mg/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,PAN+0.82*Amonio (f. workbook),2026-03-25 16:00,-2.0,False,DERIVED desde PAN/NH4 medidos (misma muestra)
LAB002,2026-03-25,G1_Lote1_Vendimia,E0,9.944424,g/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Cf Alcolyzer Real (%v/v) *7.8924,2026-03-25 16:00,-2.0,False,conversion %v/v->g/L desde Alcolyzer Real medido
LAB002,2026-03-25,G1_Lote1_Vendimia,F0,76.94999999999999,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Fructosa,2026-03-25 16:00,-2.0,False,
LAB002,2026-03-25,G1_Lote1_Vendimia,G0,81.18,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glucosa,2026-03-25 16:00,-2.0,False,
LAB002,2026-03-25,G1_Lote1_Vendimia,Gly0,0.96,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glicerol,2026-03-25 16:00,-2.0,False,
LAB002,2026-03-25,G1_Lote1_Vendimia,N0,0.24132,kg/m3,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,YAN0*1e-3,2026-03-25 16:00,-2.0,False,
LAB002,2026-03-25,G1_Lote1_Vendimia,X0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=14.44, Viab=10.71)"
LAB002,2026-03-25,G1_Lote1_Vendimia,Xd0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=14.44, Viab=10.71)"
LAB002,2026-03-25,G1_Lote1_Vendimia,YAN0,241.32,mg/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,PAN+0.82*Amonio (f. workbook),2026-03-25 16:00,-2.0,False,DERIVED desde PAN/NH4 medidos (misma muestra)
LAB003,2026-03-25,G1_Lote1_Vendimia,E0,9.234107999999999,g/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Cf Alcolyzer Real (%v/v) *7.8924,2026-03-25 16:00,-2.0,False,conversion %v/v->g/L desde Alcolyzer Real medido
LAB003,2026-03-25,G1_Lote1_Vendimia,F0,77.12,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Fructosa,2026-03-25 16:00,-2.0,False,
LAB003,2026-03-25,G1_Lote1_Vendimia,G0,78.44,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glucosa,2026-03-25 16:00,-2.0,False,
LAB003,2026-03-25,G1_Lote1_Vendimia,Gly0,0.97,g/L,MEASURED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,Y15 Glicerol,2026-03-25 16:00,-2.0,False,
LAB003,2026-03-25,G1_Lote1_Vendimia,N0,0.23886,kg/m3,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,YAN0*1e-3,2026-03-25 16:00,-2.0,False,
LAB003,2026-03-25,G1_Lote1_Vendimia,X0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=17.17, Viab=12.44)"
LAB003,2026-03-25,G1_Lote1_Vendimia,Xd0,,kg/m3,NOT_AVAILABLE,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,,2026-03-25 16:00,-2.0,False,"proxies Oculyze L-01 sin semantica homologada para marzo (Conc=17.17, Viab=12.44)"
LAB003,2026-03-25,G1_Lote1_Vendimia,YAN0,238.85999999999999,mg/L,DERIVED,,D:\claud\Desktop\Universidad\Memoria\Model\pyomo-doe\fermentation_model\data\Piloto 2026\Lotes1a3\raw\Planilla_Maestra_ID_2026_14_07_26.xlsx,06_Resultados_primarios,PAN+0.82*Amonio (f. workbook),2026-03-25 16:00,-2.0,False,DERIVED desde PAN/NH4 medidos (misma muestra)
