LAB,fecha,grupo_o_lote,G0,F0,GF0,YAN0,N0,E0,Gly0,delta_t_quimica_inoculacion_h
LAB001,2026-03-25,G1_Lote1_Vendimia,81.17,78.96999999999998,160.14,232.22,0.23222,8.997335999999999,0.93,-2.0
LAB002,2026-03-25,G1_Lote1_Vendimia,81.18,76.94999999999999,158.13,241.32,0.24132,9.944424,0.96,-2.0
LAB003,2026-03-25,G1_Lote1_Vendimia,78.44,77.12,155.56,238.85999999999999,0.23886,9.234107999999999,0.97,-2.0
LAB004,2026-04-06,G2_Lote2,75.04,70.80999999999999,145.85,230.76,0.23076,9.707652,0.99,0.0
LAB005,2026-04-06,G2_Lote2,77.71,87.95,165.66,227.29999999999998,0.22729999999999997,9.786576,1.09,0.0
LAB006,2026-04-06,G2_Lote2,81.63,75.81,157.44,229.12,0.22912000000000002,9.8655,1.17,0.0
LAB007,2026-04-17,G3_abril_sin_lote,77.52,74.55,152.07,239.04,0.23904,11.759676,0.89,0.0
LAB008,2026-04-17,G3_abril_sin_lote,76.21,74.89,151.1,239.22,0.23922000000000002,9.234107999999999,0.85,0.0
LAB009,2026-04-17,G3_abril_sin_lote,75.75,76.68,152.43,237.4,0.2374,9.707652,0.75,0.0
LAB010,2026-05-12,G4_MayoT1,78.49,77.05,155.54,225.7,0.22569999999999998,9.313032,1.25,0.0
LAB011,2026-05-12,G4_MayoT1,75.61,76.67,152.28,220.24,0.22024000000000002,9.313032,1.25,0.0
LAB012,2026-05-12,G4_MayoT1,75.0,79.88,154.88,222.06,0.22206,9.391956,1.27,0.0
LAB013,2026-08-18,G5_mem2026_16C,75.62,79.03,154.65,249.0,0.249,,1.15,
LAB014,2026-08-18,G5_mem2026_16C,76.54,80.38,156.92000000000002,247.0,0.247,,1.12,
LAB015,2026-08-18,G5_mem2026_16C,75.32,79.45,154.76999999999998,246.0,0.246,,1.12,
