theta,state,n_observations,rmse,nrmse_observed_range,bias_pred_minus_obs,r2,wsse,weighted_rmse_sigma_units
theta_full,E,44,12.548507480717399,0.167893161446982,-0.06393287988177156,0.8290910304613711,1727.2663034563868,6.265465054669248
theta_full,F,91,11.476140516429089,0.1300559895334212,0.4785097325114369,0.8533851335444597,1917.5782247851369,4.590456206571636
theta_full,G,91,11.23163306075817,0.13759197673353143,0.24801115544666927,0.8581836464974774,1836.737902439672,4.492653224303268
theta_full,Gly,91,1.0838613021713623,0.1456802825499143,-0.09614124072802616,0.6957384231574859,787.2753964100218,2.9413224886992095
theta_full,N,91,0.0613906025565322,0.2212114534323011,-0.03503874401094604,0.43937625367718725,1521.1232328470403,4.088476479251904
theta_full,X,100,0.5642336953886347,0.16969944822058847,-0.12207211201382283,0.34279846850454143,3560.695925657506,5.967156714598256
theta_full,Xd,100,0.11689256949053656,0.18580920281439606,-0.006830473257299973,-0.23508780997777023,321.40783372480837,1.7927850783761237
theta_incomplete_defaults,E,44,16.493131302247583,0.22067038337026335,-8.579629129273043,0.7047520161028881,2931.018437713907,8.161743404603504
theta_incomplete_defaults,F,91,20.430175423024984,0.23152963988015618,13.200333994929647,0.5353451376768097,6077.228507394758,8.172070169209993
theta_incomplete_defaults,G,91,11.48354707963303,0.14067802376127686,2.0990000713586383,0.8517507135762321,1920.0541873989594,4.593418831853212
theta_incomplete_defaults,Gly,91,1.1047127685598543,0.14848289899998043,-0.22862147330390437,0.6839189656869811,819.4538789708203,3.00083116502712
theta_incomplete_defaults,N,91,0.06238874812052073,0.22480811516474752,-0.03619151234676855,0.42099776571278225,1590.9807036944667,4.181304154950095
theta_incomplete_defaults,X,100,0.5594781301276794,0.16826916001313705,-0.11245085961087878,0.3538300461888063,3597.2737730159943,5.997727713906321
theta_incomplete_defaults,Xd,100,0.11553282023875225,0.18364778292600897,-0.011926668158355934,-0.20652069246876392,312.6289378975841,1.7681316068030233
