theta,batch,state,n_observations,rmse,nrmse_observed_range,bias_pred_minus_obs,r2,wsse,weighted_rmse_sigma_units,initial_time_h,observed_initial,predicted_initial,final_time_h,observed_final,predicted_final
theta_full,LAB004,E,5,6.641730833528632,0.0900037433091204,-4.788545675869677,0.948498522829355,52.39251306613927,3.237051530826758,0.0,9.707652,9.707652,163.0,82.396656,74.3000243621585
theta_full,LAB004,F,13,6.062469183083091,0.08043610432643082,-4.126668042961404,0.9534296785288254,76.44734779933087,2.424987673233236,0.0,70.80999999999999,70.80999999999999,163.0,0.06,0.049247756984292936
theta_full,LAB004,G,13,4.694579847478976,0.06256103208260895,-1.7115159440254917,0.9729059303610822,45.841286284259894,1.87783193899159,0.0,75.04,75.04,163.0,0.0,0.001140001685982898
theta_full,LAB004,Gly,13,0.4411376265946391,0.07835481822284887,-0.14127171445000644,0.952452748055932,20.651683859331975,1.260393218841826,0.0,0.99,0.99,163.0,6.28,5.908653668918146
theta_full,LAB004,N,13,0.03987819441630223,0.17663976973911336,-0.029811466856738137,0.701368230836591,129.7805260650549,3.1596071574832854,0.0,0.23076,0.23076,163.0,0.02846,1.3868224736944198e-75
theta_full,LAB004,X,12,0.46182683783887785,0.266520566619851,-0.12689944689980417,0.4594001047563421,320.7482463771993,5.170011656798588,0.0,0.3939,0.3939,163.0,2.1267,1.5298166705882872
theta_full,LAB004,Xd,12,0.15380031556850418,0.2885018112333599,-0.05491965463006513,-0.16032920019857788,69.33394743337553,2.4037114953299397,0.0,0.0092999999999999,0.0092999999999999,163.0,0.0162000000000001,0.03396414443921964
theta_full,LAB005,E,5,3.3436432704876826,0.04506952649421532,2.3755810769955503,0.9865095672279826,13.764111099515395,1.6591631082877534,0.0,9.786576,9.786576,163.0,80.66032799999999,86.32382341267933
theta_full,LAB005,F,13,4.66268674593218,0.053021227495248804,3.9414260164092196,0.9746056049457507,45.22054719663855,1.8650746983728717,0.0,87.95,87.95,163.0,0.01,0.16436555105614437
theta_full,LAB005,G,13,4.408719243156162,0.056732971858913434,-2.382040824799555,0.9758991084784903,40.42855515914893,1.763487697262465,0.0,77.71,77.71,163.0,0.0,0.001501713665268583
theta_full,LAB005,Gly,13,1.770276204336187,0.2493346766670686,-0.39974705442004355,0.2484771537222289,247.1748052422457,4.360441096620367,0.0,1.09,1.09,163.0,6.17,6.198728388459198
theta_full,LAB005,N,13,0.05380383756515455,0.2476016454908172,-0.03786165002443271,0.44967455566516235,220.8470113345611,4.121678255410056,0.0,0.2272999999999999,0.2272999999999999,163.0,0.03228,0.0
theta_full,LAB005,X,12,0.3944346342653036,0.24009899821360092,-0.061041311536401265,0.5393223870366941,218.65639895501724,4.268649268748227,0.0,0.4932,0.4932,163.0,1.8342,1.5813899979091852
theta_full,LAB005,Xd,12,0.1786213510089505,0.2848825374943389,-0.04578162285565144,-0.10371572176411803,67.88205559091597,2.378410806801395,0.0,0.0158999999999999,0.0158999999999999,163.0,0.0089999999999999,0.07536892044988394
theta_full,LAB006,E,5,15.112278398751334,0.20745273109058074,-11.399822155913608,0.7398047240770762,285.10014715425547,7.551160800224764,0.0,9.8655,9.8655,211.0,82.712352,77.88353924127625
theta_full,LAB006,F,15,11.680526924682832,0.15442261931098403,9.596045704230574,0.8147525940156143,327.44330217177736,4.672210769873133,0.0,75.81,75.81,211.0,0.17,2.502463620486565
theta_full,LAB006,G,15,13.665064080650732,0.16740247556842744,11.489425790798922,0.7895455455303171,448.161543187898,5.466025632260293,0.0,81.63,81.63,211.0,0.0,0.19403337648417635
theta_full,LAB006,Gly,15,0.8001330857500754,0.14708328782170504,-0.4127860151171308,0.8334834009791782,78.3934230504413,2.2860945307145006,0.0,1.17,1.17,211.0,6.34,6.520279702778516
theta_full,LAB006,N,15,0.030125853907149565,0.13148504673162345,-0.01586392719976539,0.8127751152541977,93.92908929572476,2.502386717991776,0.0,0.22912,0.22912,211.0,0.032,0.0
theta_full,LAB006,X,14,0.6948589334098123,0.2888385639979267,-0.5425349366488109,0.014177345949785702,347.40342659168084,4.9814185199433245,0.0,0.0989999999999999,0.0989999999999999,211.0,2.5047,1.2486677449097023
theta_full,LAB006,Xd,14,0.13962508995806783,0.260154816392897,-0.03690083991188973,-0.07753710824295412,65.6547555599607,2.165554293279217,0.0,0.0275999999999999,0.0275999999999999,211.0,0.0069000000000001,0.0323882412335439
theta_full,LAB007,E,6,6.152698020531364,0.0871030729305155,-4.375323253954954,0.9532599644802026,56.44273677139546,3.06710332320784,0.0,11.759676,11.759676,160.0,81.29172,79.06709507255981
