batch,state,max_abs_theta_full_minus_incomplete,rms_theta_full_minus_incomplete
LAB004,X,0.039264115896467944,0.010977873094643889
LAB005,X,0.059468917773146,0.021120123094657463
LAB006,X,0.04674015367465223,0.01153998875193309
LAB007,X,0.04153211159253045,0.011678226720590707
LAB008,X,0.04386877697064251,0.011037029050343788
LAB009,X,0.045140753956576685,0.011061550991726623
LAB010,X,0.03021574872786248,0.012862515573534374
LAB011,X,0.07624522351004437,0.03256507871853679
LAB012,X,0.07005361107642183,0.027028315824566454
LAB004,Xd,0.024664144439219743,0.006899483111900212
LAB005,Xd,0.05946892044988404,0.019584589297588523
LAB006,Xd,0.004788241233543999,0.000814744364255595
LAB007,Xd,0.02399940055653236,0.006497456558826472
LAB008,Xd,0.017269185285002174,0.00422610792493558
LAB009,Xd,0.019252321134746023,0.005699993610037447
LAB010,Xd,0.030215752941734314,0.011431555089910948
LAB011,Xd,0.07624522058803249,0.03208308960657481
LAB012,Xd,0.07005360981916098,0.02631687635902276
LAB004,N,0.010513457139731197,0.002286365708804788
LAB005,N,0.010494297019112028,0.002116907779773823
LAB006,N,0.012515259573363505,0.0030822652083134796
LAB007,N,0.01112074129726948,0.002598317729840224
LAB008,N,0.011746412619334814,0.0027300748537114174
LAB009,N,0.012087000334580641,0.002538354328216244
LAB010,N,0.007453917920858564,0.0015787524026071279
LAB011,N,0.008374517700254939,0.0014946712669463708
LAB012,N,0.00821324911370953,0.001649552478526714
LAB004,G,4.344971576920664,2.4827921246178346
LAB005,G,4.514072824297166,2.6534833094830295
LAB006,G,4.167023746529669,2.1684465430037094
LAB007,G,4.758583496360151,2.7263855832272035
LAB008,G,4.5514706023704585,2.5676917103459416
LAB009,G,4.488502097676907,2.744321423084508
LAB010,G,3.6800751461443775,1.8505069985004314
LAB011,G,3.8292322973233204,1.9294370120090156
LAB012,G,4.167690879240362,2.1359929687085484
LAB004,F,26.389162773308207,17.050763253015162
LAB005,F,31.393363852462215,20.141822474341875
LAB006,F,27.344766440134194,14.599768543350159
LAB007,F,27.99772002396174,17.320676778991842
LAB008,F,27.813286193675786,17.166229022487183
LAB009,F,28.662155336455108,19.42456826111295
LAB010,F,26.83271060735038,15.779041637635487
LAB011,F,27.25177026703576,16.09722663572271
LAB012,F,28.435734758857194,17.119070108942676
LAB004,E,19.07390833027474,12.338309227691404
LAB005,E,22.19248867747156,14.357557957133062
LAB006,E,19.54884168349266,10.60066401471859
LAB007,E,20.195543892668915,12.583774623734978
LAB008,E,20.040162920181942,12.453704544039011
LAB009,E,20.597353066864457,14.006585121273131
LAB010,E,18.981105140666152,11.22109898631706
LAB011,E,19.359353390966653,11.479038342181756
LAB012,E,20.15544428938354,12.185972524739267
LAB004,Gly,0.29562623178703706,0.172447073235279
LAB005,Gly,0.3111999880828735,0.1864476263091238
LAB006,Gly,0.28266020131867187,0.15098000816729
LAB007,Gly,0.32338620527142936,0.18927883374579538
LAB008,Gly,0.31161547979092763,0.17999303253402787
LAB009,Gly,0.3062772503672413,0.19145849507691562
LAB010,Gly,0.25350595570972345,0.12898178349277942
LAB011,Gly,0.2629323302382156,0.13402990476419713
LAB012,Gly,0.28879223614845895,0.1503676608718411
