scope,theta,batch,time_reference,horizon_h,X_max,X_max_time_h,X_plateau_h,X_plateau_status,Xd_max,Xd_final,E_final,Gly_final,G_final,F_final,N_final,G_plus_F_final,N_t50_h,N_t50_status,N_t20_h,N_t20_status,N_t10_h,N_t10_status,G_t50_h,G_t50_status,G_t20_h,G_t20_status,G_t10_h,G_t10_status,F_t50_h,F_t50_status,F_t20_h,F_t20_status,F_t10_h,F_t10_status,termination_GplusF_le_4_h,termination_status
historical calibration replay,theta_full,LAB004,historical batch time [h],163.0,1.554480815027506,90.75,73.0,reached,0.03396377172500744,0.03396377172500744,74.30000559394713,5.908651045251553,0.0011405109572201059,0.04925785931458738,2.132496318971528e-83,0.050398370271807484,20.0,reached,28.0,reached,30.5,reached,50.75,reached,84.5,reached,99.0,reached,75.5,reached,104.75,reached,116.0,reached,124.75,reached
historical calibration replay,theta_full,LAB005,historical batch time [h],163.0,1.6408589151047468,89.5,72.5,reached,0.07536756213526376,0.07536756213526376,86.32378605021918,6.1987262455369185,0.001502470875943939,0.1644001906631012,7.493345408078893e-88,0.16590266153904512,16.75,reached,23.75,reached,25.75,reached,46.75,reached,81.0,reached,95.5,reached,79.0,reached,109.0,reached,120.75,reached,131.75,reached
historical calibration replay,theta_full,LAB006,historical batch time [h],211.0,1.2534559838502501,129.25,107.0,reached,0.03238771291474751,0.03238771291474751,77.88330177817033,6.5202691339744705,0.1941429577535901,2.502763589025143,1.7106002909691934e-74,2.696906546778733,52.75,reached,66.0,reached,69.75,reached,102.0,reached,144.75,reached,164.25,reached,138.0,reached,177.25,reached,193.0,reached,205.5,reached
historical calibration replay,theta_full,LAB007,historical batch time [h],160.0,1.4831037431663534,88.75,70.5,reached,0.024898909216766737,0.024898909216766737,79.06704063800593,5.96875428607496,0.030571674278395054,0.5723342949092136,2.6570111168278964e-79,0.6029059691876086,25.5,reached,34.25,reached,37.0,reached,61.5,reached,95.75,reached,110.25,reached,87.75,reached,117.5,reached,130.0,reached,140.25,reached
historical calibration replay,theta_full,LAB008,historical batch time [h],160.0,1.4456759807345876,89.5,70.5,reached,0.020568618769393053,0.020568618769393053,76.52074120715163,5.845811397367203,0.026413540275714735,0.5573274238880853,3.11050395857529e-77,0.5837409641638001,27.75,reached,37.25,reached,40.0,reached,62.0,reached,95.25,reached,109.5,reached,88.0,reached,117.25,reached,129.75,reached,139.75,reached
historical calibration replay,theta_full,LAB009,historical batch time [h],160.0,1.5456789119890926,62.0,45.25,reached,0.02015176847242386,0.02015176847242386,78.41310624192494,5.715498906811052,0.0012380365053434265,0.0670424665381614,1.800301691067909e-102,0.06828050304350483,17.75,reached,25.5,reached,27.75,reached,46.5,reached,75.25,reached,90.5,reached,64.75,reached,97.5,reached,110.75,reached,121.25,reached
historical calibration replay,theta_full,LAB010,historical batch time [h],187.0,2.1025834700537622,97.25,83.0,reached,0.1430142889198057,0.1430142889198057,78.98614451986715,6.411100588418365,1.8249602036634906e-08,5.311168297549377e-05,6.457916957610801e-117,5.31299325775304e-05,12.75,reached,18.75,reached,20.75,reached,36.25,reached,66.99999999994179,reached,81.25,reached,65.25,reached,93.25,reached,103.0,reached,110.25,reached
historical calibration replay,theta_full,LAB011,historical batch time [h],163.0,2.186892263817277,86.5,74.5,reached,0.11927725620148144,0.11927725620148144,77.9636836970479,6.2171704637344005,4.52723279817007e-08,5.9775411300017613e-05,9.519037530115809e-114,5.9820683627999316e-05,9.0,reached,13.25,reached,14.75,reached,29.75,reached,58.5,reached,72.25,reached,55.0,reached,80.0,reached,88.0,reached,94.5,reached
historical calibration replay,theta_full,LAB012,historical batch time [h],163.0,1.979489332562778,89.75,75.5,reached,0.19095273476968638,0.19095273476968638,80.03553409527103,6.2007066707780085,2.702660861365171e-06,0.0015447422764298527,1.2742850075480404e-101,0.001547444937291218,13.75,reached,20.0,reached,22.0,reached,37.5,reached,67.25,reached,79.25,reached,66.25,reached,90.5,reached,100.0,reached,107.5,reached
historical calibration replay,theta_incomplete_defaults,LAB004,historical batch time [h],163.0,1.5544808150275116,82.0,72.75,reached,0.0092999999999999,0.0092999999999999,62.98271453290261,5.866222593529956,0.6273838803086744,16.236518815699846,7.633263391226586e-169,16.86390269600852,19.75,reached,27.0,reached,29.25,reached,53.25,reached,90.75,reached,109.75,reached,111.25,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB005,historical batch time [h],163.0,1.640858915104751,81.25,72.25,reached,0.0158999999999999,0.0158999999999999,71.48785400067464,6.151498777994452,0.6104930844364745,21.875242792353557,5.860383008918035e-178,22.48573587679003,16.25,reached,23.0,reached,25.0,reached,49.5,reached,87.5,reached,107.0,reached,113.25,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB006,historical batch time [h],211.0,1.2534559838502461,118.25,106.5,reached,0.0275999999999999,0.0275999999999999,59.2450007375815,6.3479847342535125,2.758067633639324,28.969693483491476,9.656617230464e-151,31.7277611171308,51.75,reached,64.25,reached,67.75,reached,103.75,reached,151.5,reached,177.75,reached,183.75,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB007,historical batch time [h],160.0,1.483103743166351,79.75,70.0,reached,0.0008999999999999,0.0008999999999999,62.803256170531725,5.855097762389739,1.7275005037713507,23.865890014539932,4.534046426908802e-161,25.59339051831128,25.0,reached,33.5,reached,35.75,reached,64.25,reached,102.5,reached,123.25,reached,125.25,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB008,historical batch time [h],160.0,1.4456759807345885,80.0,70.25,reached,0.0033,0.0033,60.461432245859335,5.739029703237696,1.582129615695611,23.565200503437215,6.720451346650057e-157,25.147330119132825,27.25,reached,36.0,reached,38.75,reached,64.5,reached,101.75,reached,122.0,reached,124.25,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB009,historical batch time [h],160.0,1.5456789119890957,53.5,45.0,reached,0.0008999999999999,0.0008999999999999,65.68352511785835,5.6724541632938505,0.6250428979275325,18.39506611340426,1.0492678391659306e-208,19.02010901133179,17.25,reached,24.75,reached,26.75,reached,48.75,reached,82.75,reached,103.25,reached,105.5,reached,,not reached,,not reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB010,historical batch time [h],187.0,2.1025834700537605,90.75,82.75,reached,0.1127999999999999,0.1127999999999999,74.2530507243805,6.404758266872382,0.019143921708173185,6.30412940039718,4.790151634570408e-222,6.323273322105353,12.5,reached,18.25,reached,20.0,reached,37.75,reached,72.0,reached,88.75,reached,95.5,reached,145.5,reached,178.25,reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB011,historical batch time [h],163.0,2.186892263817289,81.5,74.5,reached,0.043032008251187075,0.043032008251187075,73.04835924523329,6.210988036990499,0.028845162320629357,6.377046150165202,6.284360990020406e-201,6.405891312485831,8.75,reached,12.75,reached,14.25,reached,31.5,reached,63.5,reached,78.5,reached,82.75,reached,126.5,reached,155.75,reached,,not reached
historical calibration replay,theta_incomplete_defaults,LAB012,historical batch time [h],163.0,1.979489332562779,83.25,75.25,reached,0.1208999999999999,0.1208999999999999,72.49288562281507,6.186657668021198,0.0943551969872405,10.596087738250787,4.562449529094572e-189,10.690442935238028,13.5,reached,19.5,reached,21.5,reached,39.25,reached,72.75,reached,88.25,reached,94.0,reached,143.25,reached,,not reached,,not reached
external holdout,theta_full,LAB013,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3412830860594946,58.5,37.25,reached,0.044945549999999945,0.044945549999999945,69.56067078136493,6.1422727643778865,0.047499567910045504,1.9247787631813702,1.4813317317561953e-78,1.9722783310914158,24.25,reached,33.75,reached,36.5,reached,45.25,reached,77.75,reached,94.0,reached,76.25,reached,110.25,reached,124.0,reached,135.0,reached
external holdout,theta_full,LAB014,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3591642897457643,56.75,35.75,reached,0.026495040000000025,0.026495040000000025,70.69879208444567,6.174879477267761,0.042375801385297104,1.9095639771750634,8.674541176176635e-81,1.9519397785603605,23.25,reached,32.25,reached,35.0,reached,44.0,reached,76.75,reached,93.0,reached,75.75,reached,110.0,reached,123.75,reached,134.75,reached
external holdout,theta_full,LAB015,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3980689965888993,54.0,33.75,reached,0.041455679999999995,0.041455679999999995,70.38163977705092,6.095374498977512,0.01520476207453442,0.966853196181051,1.2272853452335807e-84,0.9820579582555855,21.5,reached,30.25,reached,33.0,reached,41.25,reached,72.5,reached,88.0,reached,71.25,reached,104.0,reached,117.25,reached,127.75,reached
external holdout,theta_incomplete_defaults,LAB013,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3412830860594969,47.5,36.25,reached,0.044945549999999945,0.044945549999999945,52.299402926526334,6.047102036788912,1.3901938017855144,26.85029877452294,2.9286483524217718e-161,28.240492576308455,24.0,reached,32.75,reached,35.5,reached,46.0,reached,81.75,reached,102.75,reached,111.5,reached,,not reached,,not reached,,not reached
external holdout,theta_incomplete_defaults,LAB014,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3591642897457639,45.75,34.75,reached,0.026495040000000025,0.026495040000000025,53.26597887485091,6.0827417119142,1.3441878620441619,27.128518078214224,7.891228045938145e-166,28.472705940258386,22.75,reached,31.5,reached,34.0,reached,45.0,reached,80.75,reached,102.0,reached,111.0,reached,,not reached,,not reached,,not reached
external holdout,theta_incomplete_defaults,LAB015,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3980689965888982,43.25,32.5,reached,0.041455679999999995,0.041455679999999995,54.34080495147256,6.027187795589772,0.9568058555463211,24.278510599488232,8.546652078945412e-174,25.235316455034553,21.25,reached,29.5,reached,32.0,reached,42.25,reached,76.5,reached,96.75,reached,105.25,reached,,not reached,,not reached,,not reached
