scope,theta,batch,time_reference,horizon_h,X_max,X_max_time_h,X_plateau_h,X_plateau_status,Xd_max,Xd_final,E_final,Gly_final,G_final,F_final,N_final,G_plus_F_final,N_t50_h,N_t50_status,N_t20_h,N_t20_status,N_t10_h,N_t10_status,G_t50_h,G_t50_status,G_t20_h,G_t20_status,G_t10_h,G_t10_status,F_t50_h,F_t50_status,F_t20_h,F_t20_status,F_t10_h,F_t10_status,termination_GplusF_le_4_h,termination_status,theta_theta_full,time_reference_theta_full,horizon_h_theta_full,X_max_theta_full,X_max_time_h_theta_full,X_plateau_h_theta_full,X_plateau_status_theta_full,Xd_max_theta_full,Xd_final_theta_full,E_final_theta_full,Gly_final_theta_full,G_final_theta_full,F_final_theta_full,N_final_theta_full,G_plus_F_final_theta_full,N_t50_h_theta_full,N_t50_status_theta_full,N_t20_h_theta_full,N_t20_status_theta_full,N_t10_h_theta_full,N_t10_status_theta_full,G_t50_h_theta_full,G_t50_status_theta_full,G_t20_h_theta_full,G_t20_status_theta_full,G_t10_h_theta_full,G_t10_status_theta_full,F_t50_h_theta_full,F_t50_status_theta_full,F_t20_h_theta_full,F_t20_status_theta_full,F_t10_h_theta_full,F_t10_status_theta_full,termination_GplusF_le_4_h_theta_full,termination_status_theta_full,delta_X_max_vs_theta_full,delta_X_plateau_h_vs_theta_full,delta_N_t50_h_vs_theta_full,delta_N_t20_h_vs_theta_full,delta_N_t10_h_vs_theta_full,delta_G_t50_h_vs_theta_full,delta_G_t20_h_vs_theta_full,delta_G_t10_h_vs_theta_full,delta_F_t50_h_vs_theta_full,delta_F_t20_h_vs_theta_full,delta_F_t10_h_vs_theta_full,delta_Gly_final_vs_theta_full,delta_E_final_vs_theta_full,delta_termination_GplusF_le_4_h_vs_theta_full,parameter_replaced,theta_full_value,replacement_value
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB004,historical batch time [h],163.0,1.5544808150275085,82.0,72.75,reached,0.03403773493890942,0.03403773493890942,74.30108802991803,5.908664914431912,0.0010805745363513927,0.04740847273556018,1.4300099809563157e-168,0.04848904727191158,19.75,reached,27.0,reached,29.25,reached,50.5,reached,84.25,reached,98.5,reached,75.0,reached,104.5,reached,115.75,reached,124.5,reached,theta_full,historical batch time [h],163.0,1.554480815027506,90.75,73.0,reached,0.03396377172500744,0.03396377172500744,74.30000559394713,5.908651045251553,0.0011405109572201059,0.04925785931458738,2.132496318971528e-83,0.050398370271807484,20.0,reached,28.0,reached,30.5,reached,50.75,reached,84.5,reached,99.0,reached,75.5,reached,104.75,reached,116.0,reached,124.75,reached,2.4424906541753444e-15,-0.25,-0.25,-1.0,-1.25,-0.25,-0.25,-0.5,-0.5,-0.25,-0.25,1.386918035972684e-05,0.0010824359709005194,-0.25,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB005,historical batch time [h],163.0,1.6408589151047512,81.25,72.25,reached,0.07567894761365922,0.07567894761365922,86.32625026652863,6.198736374373594,0.0014420909216028962,0.159763355687689,1.5253000973319257e-176,0.1612054466092919,16.25,reached,23.0,reached,25.0,reached,46.5,reached,80.75,reached,95.25,reached,78.75,reached,108.75,reached,120.5,reached,131.5,reached,theta_full,historical batch time [h],163.0,1.6408589151047468,89.5,72.5,reached,0.07536756213526376,0.07536756213526376,86.32378605021918,6.1987262455369185,0.001502470875943939,0.1644001906631012,7.493345408078893e-88,0.16590266153904512,16.75,reached,23.75,reached,25.75,reached,46.75,reached,81.0,reached,95.5,reached,79.0,reached,109.0,reached,120.75,reached,131.75,reached,4.440892098500626e-15,-0.25,-0.5,-0.75,-0.75,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,1.0128836675171726e-05,0.002464216309448375,-0.25,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB006,historical batch time [h],211.0,1.2534559838502457,118.25,106.5,reached,0.03266466503575976,0.03266466503575976,77.96755799546857,6.521322060501901,0.17805234389454092,2.374671862090849,4.558338998677431e-152,2.55272420598539,51.75,reached,64.25,reached,67.75,reached,101.25,reached,143.75,reached,163.5,reached,137.25,reached,176.5,reached,192.25,reached,204.75,reached,theta_full,historical batch time [h],211.0,1.2534559838502501,129.25,107.0,reached,0.03238771291474751,0.03238771291474751,77.88330177817033,6.5202691339744705,0.1941429577535901,2.502763589025143,1.7106002909691934e-74,2.696906546778733,52.75,reached,66.0,reached,69.75,reached,102.0,reached,144.75,reached,164.25,reached,138.0,reached,177.25,reached,193.0,reached,205.5,reached,-4.440892098500626e-15,-0.5,-1.0,-1.75,-2.0,-0.75,-1.0,-0.75,-0.75,-0.75,-0.75,0.0010529265274303867,0.08425621729823263,-0.75,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB007,historical batch time [h],160.0,1.4831037431663534,79.75,70.0,reached,0.025138774850365236,0.025138774850365236,79.07929024961464,5.968869110956608,0.028899972060574635,0.5510880533184143,1.1608062894207138e-160,0.5799880253789889,25.0,reached,33.5,reached,35.75,reached,61.0,reached,95.5,reached,109.75,reached,87.25,reached,117.0,reached,129.5,reached,139.75,reached,theta_full,historical batch time [h],160.0,1.4831037431663534,88.75,70.5,reached,0.024898909216766737,0.024898909216766737,79.06704063800593,5.96875428607496,0.030571674278395054,0.5723342949092136,2.6570111168278964e-79,0.6029059691876086,25.5,reached,34.25,reached,37.0,reached,61.5,reached,95.75,reached,110.25,reached,87.75,reached,117.5,reached,130.0,reached,140.25,reached,0.0,-0.5,-0.5,-0.75,-1.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,0.00011482488164826776,0.012249611608709188,-0.5,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB008,historical batch time [h],160.0,1.4456759807345863,80.0,70.25,reached,0.020839996665608772,0.020839996665608772,76.53392637830447,5.845925312968533,0.024815115933794547,0.5344828816443958,9.358251430978949e-157,0.5592979975781904,27.25,reached,36.0,reached,38.75,reached,61.5,reached,95.0,reached,109.0,reached,87.5,reached,116.75,reached,129.25,reached,139.5,reached,theta_full,historical batch time [h],160.0,1.4456759807345876,89.5,70.5,reached,0.020568618769393053,0.020568618769393053,76.52074120715163,5.845811397367203,0.026413540275714735,0.5573274238880853,3.11050395857529e-77,0.5837409641638001,27.75,reached,37.25,reached,40.0,reached,62.0,reached,95.25,reached,109.5,reached,88.0,reached,117.25,reached,129.75,reached,139.75,reached,-1.3322676295501878e-15,-0.25,-0.5,-1.25,-1.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,0.00011391560133056089,0.013185171152841235,-0.25,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB009,historical batch time [h],160.0,1.5456789119890961,53.75,45.0,reached,0.020321665252699902,0.020321665252699902,78.41499691556561,5.715495144787729,0.0011596825535792135,0.06390138738945313,2.6220655899037925e-208,0.06506106994303235,17.25,reached,24.75,reached,26.75,reached,46.25,reached,74.75,reached,90.0,reached,64.5,reached,97.25,reached,110.25,reached,120.75,reached,theta_full,historical batch time [h],160.0,1.5456789119890926,62.0,45.25,reached,0.02015176847242386,0.02015176847242386,78.41310624192494,5.715498906811052,0.0012380365053434265,0.0670424665381614,1.800301691067909e-102,0.06828050304350483,17.75,reached,25.5,reached,27.75,reached,46.5,reached,75.25,reached,90.5,reached,64.75,reached,97.5,reached,110.75,reached,121.25,reached,3.552713678800501e-15,-0.25,-0.5,-0.75,-1.0,-0.25,-0.5,-0.5,-0.25,-0.25,-0.5,-3.7620233230839517e-06,0.0018906736406734126,-0.5,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB010,historical batch time [h],187.0,2.1025834700537653,91.0,82.75,reached,0.14309879686651472,0.14309879686651472,78.98618190172772,6.411099295344994,1.7680991078470487e-08,5.190772746206845e-05,7.458067462765013e-234,5.1925408453146924e-05,12.5,reached,18.25,reached,20.0,reached,36.0,reached,66.75,reached,81.25,reached,65.25,reached,93.0,reached,102.75,reached,110.25,reached,theta_full,historical batch time [h],187.0,2.1025834700537622,97.25,83.0,reached,0.1430142889198057,0.1430142889198057,78.98614451986715,6.411100588418365,1.8249602036634906e-08,5.311168297549377e-05,6.457916957610801e-117,5.31299325775304e-05,12.75,reached,18.75,reached,20.75,reached,36.25,reached,66.99999999994179,reached,81.25,reached,65.25,reached,93.25,reached,103.0,reached,110.25,reached,3.1086244689504383e-15,-0.25,-0.25,-0.5,-0.75,-0.25,-0.24999999994179234,0.0,0.0,-0.25,-0.25,-1.293073371044784e-06,3.738186056523318e-05,0.0,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB011,historical batch time [h],163.0,2.1868922638172883,81.25,74.5,reached,0.11939134901229952,0.11939134901229952,77.96373872497638,6.217161970450786,4.4124847090607155e-08,5.864805990322952e-05,2.122138589245345e-227,5.8692184750320124e-05,8.75,reached,12.75,reached,14.25,reached,29.75,reached,58.5,reached,72.0,reached,54.75,reached,80.0,reached,88.0,reached,94.5,reached,theta_full,historical batch time [h],163.0,2.186892263817277,86.5,74.5,reached,0.11927725620148144,0.11927725620148144,77.9636836970479,6.2171704637344005,4.52723279817007e-08,5.9775411300017613e-05,9.519037530115809e-114,5.9820683627999316e-05,9.0,reached,13.25,reached,14.75,reached,29.75,reached,58.5,reached,72.25,reached,55.0,reached,80.0,reached,88.0,reached,94.5,reached,1.1102230246251565e-14,0.0,-0.25,-0.5,-0.5,0.0,0.0,-0.25,-0.25,0.0,0.0,-8.493283614185998e-06,5.5027928482331845e-05,0.0,sN,8.751445870938538,18.0
historical calibration replay,theta_full_with_sN_from_theta_incomplete_defaults,LAB012,historical batch time [h],163.0,1.979489332562778,83.5,75.25,reached,0.19106559291855643,0.19106559291855643,80.03568661472785,6.200714672354251,2.620802303260682e-06,0.0015122498100886253,8.715507083515576e-201,0.001514870612391886,13.5,reached,19.5,reached,21.5,reached,37.25,reached,66.99999999994179,reached,79.0,reached,66.25,reached,90.5,reached,99.75,reached,107.25,reached,theta_full,historical batch time [h],163.0,1.979489332562778,89.75,75.5,reached,0.19095273476968638,0.19095273476968638,80.03553409527103,6.2007066707780085,2.702660861365171e-06,0.0015447422764298527,1.2742850075480404e-101,0.001547444937291218,13.75,reached,20.0,reached,22.0,reached,37.5,reached,67.25,reached,79.25,reached,66.25,reached,90.5,reached,100.0,reached,107.5,reached,0.0,-0.25,-0.25,-0.5,-0.5,-0.25,-0.25000000005820766,-0.25,0.0,0.0,-0.25,8.001576242477881e-06,0.00015251945681882262,-0.25,sN,8.751445870938538,18.0
external holdout,theta_full_with_sN_from_theta_incomplete_defaults,LAB013,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.341283086059496,47.5,36.25,reached,0.044945549999999945,0.044945549999999945,69.59790189107089,6.142417968939324,0.045216468503136,1.8665906076661283,1.2388873707268167e-161,1.9118070761692643,24.0,reached,32.75,reached,35.5,reached,44.75,reached,77.5,reached,93.5,reached,75.75,reached,110.0,reached,123.75,reached,134.5,reached,theta_full,proxy h from numbered sample 1; NOT absolute inoculation age,143.5,1.3412830860594946,58.5,37.25,reached,0.044945549999999945,0.044945549999999945,69.56067078136493,6.1422727643778865,0.047499567910045504,1.9247787631813702,1.4813317317561953e-78,1.9722783310914158,24.25,reached,33.75,reached,36.5,reached,45.25,reached,77.75,reached,94.0,reached,76.25,reached,110.25,reached,124.0,reached,135.0,reached,1.3322676295501878e-15,-1.0,-0.25,-1.0,-1.0,-0.5,-0.25,-0.5,-0.5,-0.25,-0.25,0.00014520456143785054,0.037231109705956555,-0.5,sN,8.751445870938538,18.0
