parameter,variant,scope,level,state,theta_full_value,replacement_value,n_observations,wsse,weighted_rmse_sigma_units,delta_wsse_vs_theta_full,trajectory_change_rms_sigma,joint_six_parameter_change_rms_sigma,fraction_of_joint_trajectory_change
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,E,8.751445870938538,18.0,44,1718.18377891232,6.248970422310892,-9.082524544066928,0.07264705964417896,5.2408734570302276,0.013861632080951798
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,F,8.751445870938538,18.0,91,1899.2766935446855,4.568497833701468,-18.301531240451368,0.0807591919189425,6.363767057694108,0.012690469526426279
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,G,8.751445870938538,18.0,91,1818.239002624417,4.469971854552118,-18.498899815255072,0.08928055131312061,0.9397413212282116,0.09500545447595495
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,Gly,8.751445870938538,18.0,91,781.3875905650351,2.930303195813701,-5.887805844986701,0.04148093122798647,0.4698360431500712,0.08828809929070718
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,N,8.751445870938538,18.0,91,1590.9807524108132,4.181304218966542,69.85751956377294,0.2266533069207184,0.2266532958327588,1.0000000489203544
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,X,8.751445870938538,18.0,100,3580.6640966488962,5.983865052496502,19.968170991390252,0.13085713551532024,0.15978224843312733,0.8189716742538334
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,state,Xd,8.751445870938538,18.0,100,321.3639223129933,1.7926626071656464,-0.043911411815088286,0.0014023341144736082,0.2537924947693607,0.005525514518260317
sN,theta_full_with_sN_from_theta_incomplete_defaults,historical calibration replay,global,GLOBAL,8.751445870938538,18.0,608,11710.095837019158,4.388624619140817,38.01101769858542,0.11538726321367702,2.8699706275113384,0.04020503279984219
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,F,8.751445870938538,18.0,21,398.7158744271428,4.357346693897139,8.963041538000766,0.050416453124278046,2.044029846675243,0.02466522355643873
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,G,8.751445870938538,18.0,21,1254.1273651747363,7.727894326568298,21.650116467300677,0.06838447133524364,0.2472693991165411,0.2765585696393155
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,Gly,8.751445870938538,18.0,21,250.97659216728198,3.4570603543589016,4.5241898927366435,0.03177056216883551,0.14909610786665212,0.213087803722216
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,N,8.751445870938538,18.0,21,1262.316969830386,7.753085314678605,23.55746547556373,0.14504256482722208,0.14504275117815207,0.9999987151999774
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,X,8.751445870938538,18.0,24,1492.1619850416444,7.885012114347184,39.38950590882564,0.14778442295774313,0.14778457035701895,0.9999990026071365
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,state,Xd,8.751445870938538,18.0,24,16.936255840495747,0.8400460265290961,0.0,0.0,0.0,
sN,theta_full_with_sN_from_theta_incomplete_defaults,external holdout,global,GLOBAL,8.751445870938538,18.0,132,4675.235042481688,5.951339957650541,98.08431928242771,0.09288025864654219,0.827811912735064,0.11219971254058037
