section,analysis,model,calibration_domain,target_domain,experiment,role,medium,metric,value,unit,parameter,lower_bound,upper_bound,active_bound,interpretation,source_file
model_selection,pilot_2025,instant,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,data_wsse,240.78837738068813,WSSE,,,,,Instantaneous algebraic rate proxy,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,instant,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,bic,246.495487645437,BIC,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,instant,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,mean_relative_rmse,0.7476039385730463,fraction,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,instant,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,min_correlation,0.3278241280443469,correlation,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,data_wsse,124.65342654331737,WSSE,,,,,Selected dissolved CO2 and O2 transition model,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,bic,136.0676470728151,BIC,,,,,Selected dissolved CO2 and O2 transition model,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,mean_relative_rmse,0.6070084411006547,fraction,,,,,Selected dissolved CO2 and O2 transition model,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
model_selection,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,min_correlation,0.8429168806497217,correlation,,,,,Selected dissolved CO2 and O2 transition model,pilot_2025/results/co2_solubility_integrated_doe/co2_model_selection_summary.csv
fit_quality,pilot_2025,instant,pilot_2025,pilot_2025,25170,calibration,MN,rmse,0.383539728987841,L_min,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/initial_fit_metrics.csv
fit_quality,pilot_2025,instant,pilot_2025,pilot_2025,25170,calibration,MN,correlation,0.3278241280443469,correlation,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/initial_fit_metrics.csv
fit_quality,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170,calibration,MN,rmse,0.2403473165470326,L_min,,,,,Selected dynamic model,pilot_2025/results/co2_solubility_integrated_doe/co2_metrics_selected.csv
fit_quality,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170,calibration,MN,correlation,0.8429168806497217,correlation,,,,,Selected dynamic model,pilot_2025/results/co2_solubility_integrated_doe/co2_metrics_selected.csv
fit_quality,pilot_2025,instant,pilot_2025,pilot_2025,25171,calibration,MN,rmse,0.11281356221380724,L_min,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/initial_fit_metrics.csv
fit_quality,pilot_2025,instant,pilot_2025,pilot_2025,25171,calibration,MN,correlation,0.9772520423155199,correlation,,,,,Instantaneous proxy,pilot_2025/results/co2_solubility_integrated_doe/initial_fit_metrics.csv
fit_quality,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25171,calibration,MN,rmse,0.19465181384440391,L_min,,,,,Selected dynamic model,pilot_2025/results/co2_solubility_integrated_doe/co2_metrics_selected.csv
fit_quality,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25171,calibration,MN,correlation,0.9311668914028195,correlation,,,,,Selected dynamic model,pilot_2025/results/co2_solubility_integrated_doe/co2_metrics_selected.csv
parameter,pilot_2025,solubility_o2_slow_transition,pilot_2025,pilot_2025,25170_and_25171,calibration,MN,estimate,0.2669276959271604,h^-1,kCO2_release_h,,,False,Focused two-parameter gas block,pilot_2025/results/co2_solubility_integrated_doe/co2_o2_parameter_estimability_current.csv
